npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
27,True,27000033,4,A,27000033,5,A,10.25:256,10.25:256,A,3494.3874194655327,3498.168265925494,1.9149208743596717,1.9149208743596717,3.7808464599611398,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]","[2.191300459655103,2.454256514813715,2.366604496427511]","[1.109848558153464,1.2430303851318798,1.1986364428057412]","complete-cycle volume conservation, not independently logged SSD rates",3494.3874194655327,3498.168265925494,,False,3496.3023403398925,3.7808464599611398,1.865925585601417,1.865925585601417,0.0,50.64794073598412,3.759765625,False,A,A
28,True,28000033,4,A,28000033,5,A,10.25:256,10.25:256,A,3493.999888437248,3497.526252375689,1.9149208743596717,1.9149208743596717,3.5263639384411363,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]","[2.278952478041307,2.454256514813715,2.278952478041307]","[1.2375392183156668,1.3327345428014874,1.2375392183156668]","complete-cycle volume conservation, not independently logged SSD rates",3493.999888437248,3497.526252375689,,False,3495.9148093116078,3.5263639384411363,1.6114430640814135,1.6114430640814135,0.0,54.3029848248216,3.759765625,False,A,A
29,True,29000033,4,A,29000033,5,A,10.25:256,10.25:256,A,3494.8489978346734,3498.3403087721736,1.9149208743596717,1.9149208743596717,3.4913109375002023,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]","[2.278952478041307,2.454256514813715,2.278952478041307]","[1.2499641968296464,1.3461152888934653,1.2499641968296464]","complete-cycle volume conservation, not independently logged SSD rates",3494.8489978346734,3498.3403087721736,,False,3496.763918709033,3.4913109375002023,1.5763900631404795,1.5763900631404795,0.0,54.84819051180716,3.759765625,False,A,A
21,True,21000032,2,A,21000032,3,A,10.25:256,10.25:256,A,2014.9731564982487,2018.292424589069,1.9149208743596717,1.9149208743596717,3.3192680908202874,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.366604496427511,2.454256514813715,2.191300459655103]","[2.366604496427511,2.454256514813715,2.191300459655103]","[1.3653191690348054,1.4158865456657241,1.264184415772968]","complete-cycle volume conservation, not independently logged SSD rates",2014.9731564982487,2018.292424589069,,False,2016.8880773726084,3.3192680908202874,1.4043472164605646,1.4043472164605646,0.0,57.691057846624226,3.759765625,False,A,A
31,True,31000033,4,A,31000033,5,A,10.25:256,10.25:256,A,3493.777491586662,3497.0646740065486,1.9149208743596717,1.9149208743596717,3.2871824198864488,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[1.2254629643094626,1.429706791694373,1.429706791694373]","complete-cycle volume conservation, not independently logged SSD rates",3493.777491586662,3497.0646740065486,,False,3495.692412461022,3.2871824198864488,1.372261545526726,1.372261545526726,0.0,58.25417119460684,3.759765625,False,A,A
22,True,22000032,2,A,22000032,3,A,10.25:256,10.25:256,A,2014.5283627970769,2017.7930807169987,1.9149208743596717,1.9149208743596717,3.26471791992185,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.366604496427511,2.454256514813715,2.191300459655103]","[2.366604496427511,2.454256514813715,2.191300459655103]","[1.388132286684965,1.439544593599223,1.285307672856449]","complete-cycle volume conservation, not independently logged SSD rates",2014.5283627970769,2017.7930807169987,,False,2016.4432836714366,3.26471791992185,1.349797045562127,1.349797045562127,0.0,58.655017717595356,3.759765625,False,A,A
14,True,14000045,2,A,14000045,3,A,10.25:256,10.25:256,A,3683.810783524574,3687.072036319317,1.9149208743596717,1.9149208743596717,3.2612527947426315,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.366604496427511,2.454256514813715,2.191300459655103]","[2.366604496427511,2.454256514813715,2.191300459655103]","[1.3896071960039948,1.441074129189328,1.2866733296333286]","complete-cycle volume conservation, not independently logged SSD rates",3683.810783524574,3687.072036319317,,False,3685.725704398934,3.2612527947426315,1.3463319203829087,1.3463319203829087,0.0,58.71733946680425,3.759765625,False,A,A
24,True,24000009,4,A,24000009,5,A,10.25:256,10.25:256,A,3124.0706852635244,3127.326549824356,1.9149208743596717,1.9149208743596717,3.255864560831469,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]","[2.191300459655103,2.454256514813715,2.366604496427511]","[1.2888026862873867,1.443459008641873,1.3919069011903777]","complete-cycle volume conservation, not independently logged SSD rates",3124.0706852635244,3127.326549824356,,False,3125.985606137884,3.255864560831469,1.3409436864717463,1.3409436864717463,0.0,58.81451266113622,3.759765625,False,A,A
7,True,7000027,4,A,7000027,5,A,10.25:256,10.25:256,A,2669.8439076298887,2673.0833485478574,1.9149208743596717,1.9149208743596717,3.23944091796875,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]","[2.278952478041307,2.454256514813715,2.278952478041307]","[1.3471502590673574,1.450777202072539,1.3471502590673574]","complete-cycle volume conservation, not independently logged SSD rates",2669.8439076298887,2673.0833485478574,,False,2671.7588285042484,3.23944091796875,1.3245200436090272,1.3245200436090272,0.0,59.112696383436386,3.759765625,False,A,A
10,True,10000044,1,A,10000044,2,A,10.25:256,10.25:256,A,3684.4074702792777,3687.63432269627,1.9149208743596717,1.9149208743596717,3.2268524169921875,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[1.2483745123537062,1.4564369310793237,1.4564369310793237]","complete-cycle volume conservation, not independently logged SSD rates",3684.4074702792777,3687.63432269627,,False,3686.3223911536375,3.2268524169921875,1.3119315426324647,1.3119315426324647,0.0,59.34330508194134,3.759765625,False,A,A
24,True,24000033,3,A,24000033,4,A,10.25:256,10.25:256,A,3493.458582895256,3496.649153474322,1.9149208743596717,1.9149208743596717,3.190570579065934,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]","[2.191300459655103,2.454256514813715,2.366604496427511]","[1.3151776110892248,1.472998924419932,1.420391819976363]","complete-cycle volume conservation, not independently logged SSD rates",3493.458582895256,3496.649153474322,,False,3495.3735037696156,3.190570579065934,1.2756497047062112,1.2756497047062112,0.0,60.018132396879324,3.759765625,False,A,A
6,True,6000027,5,A,6000027,6,A,10.25:256,10.25:256,A,2669.3949177617246,2672.579808508795,1.9149208743596717,1.9149208743596717,3.1848907470703125,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]","[2.278952478041307,2.454256514813715,2.278952478041307]","[1.370223978919631,1.4756258234519104,1.370223978919631]","complete-cycle volume conservation, not independently logged SSD rates",2669.3949177617246,2672.579808508795,,False,2671.3098386360844,3.1848907470703125,1.2699698727105897,1.2699698727105897,0.0,60.12516680897614,3.759765625,False,A,A
8,True,8000062,5,A,8000062,6,A,10.25:256,10.25:256,A,3959.693432625194,3962.853760489153,1.9149208743596717,1.9149208743596717,3.1603278639590826,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]","[2.278952478041307,2.454256514813715,2.278952478041307]","[1.380873713022929,1.4870947678708464,1.380873713022929]","complete-cycle volume conservation, not independently logged SSD rates",3959.693432625194,3962.853760489153,,False,3961.6083534995537,3.1603278639590826,1.2454069895993598,1.2454069895993598,0.0,60.59247510986931,3.759765625,False,A,A
8,True,8000042,3,A,8000042,4,A,10.25:256,10.25:256,A,3643.8208874791803,3646.9395828362726,1.9149208743596717,1.9149208743596717,3.1186953570922924,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[1.291668422611112,1.5069464930462972,1.5069464930462972]","complete-cycle volume conservation, not independently logged SSD rates",3643.8208874791803,3646.9395828362726,,False,3645.73580835354,3.1186953570922924,1.2037744827325696,1.2037744827325696,0.0,61.40134431549747,3.759765625,False,A,A
12,True,12000041,3,A,12000041,4,A,10.25:256,10.25:256,A,3643.972374100746,3647.078056347015,1.9149208743596717,1.9149208743596717,3.1056822462687705,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[1.297080638993157,1.5132607454920164,1.5132607454920164]","complete-cycle volume conservation, not independently logged SSD rates",3643.972374100746,3647.078056347015,,False,3645.8872949751058,3.1056822462687705,1.1907613719090477,1.1907613719090477,0.0,61.65862192309906,3.759765625,False,A,A
14,True,14000050,6,A,14000050,7,A,10.25:256,10.25:256,A,3769.746907956566,3772.8478753637924,1.9149208743596717,1.9149208743596717,3.1009674072265625,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]","[2.191300459655103,2.454256514813715,2.366604496427511]","[1.3531799729364005,1.5155615696887685,1.4614343707713127]","complete-cycle volume conservation, not independently logged SSD rates",3769.746907956566,3772.8478753637924,,False,3771.6618288309255,3.1009674072265625,1.1860465328668397,1.1860465328668397,0.0,61.75237024088347,3.759765625,False,A,A
