npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
0,True,10,2,A,10,3,A,32:1024,32:1024,A,2092.3695033475215,2102.85992082799,7.257231579079756,7.257231579079756,10.49041748046875,"[0.0085601806640625,0.0156097412109375,0.0174560546875]","[0.0085601806640625,0.0156097412109375,0.0174560546875]","[1.1795380333099366,2.1509222960357666,2.4053324600830077]","[1.1795380333099366,2.1509222960357666,2.4053324600830077]","[0.816,1.488,1.664]","complete-cycle volume conservation, not independently logged SSD rates",2092.3695033475215,2102.85992082799,,False,2099.6267349266013,10.49041748046875,3.233185901388879,3.233185901388879,0.0,69.1796260024103,13.96484375,False,A,A
0,True,10,1,A,10,2,A,32:1024,32:1024,A,2082.6348566912275,2092.3695033475215,7.257231579079756,7.257231579079756,9.73464665629399,"[0.0085601806640625,0.0156097412109375,0.0174560546875]","[0.0085601806640625,0.0156097412109375,0.0174560546875]","[1.1795380333099366,2.1509222960357666,2.4053324600830077]","[1.1795380333099366,2.1509222960357666,2.4053324600830077]","[0.8793519648222535,1.6035241711464623,1.7931883204218504]","complete-cycle volume conservation, not independently logged SSD rates",2082.6348566912275,2092.3695033475215,,False,2089.8920882703073,9.73464665629399,2.4774150772141184,2.4774150772141184,0.0,74.55053927804921,13.96484375,False,A,A
8,True,8000010,4,A,8000010,5,A,32:1024,32:1024,A,2093.3556025906855,2103.0277675076777,7.257231579079756,7.257231579079756,9.672164916992188,"[0.0122528076171875,0.0132598876953125,0.01611328125]","[0.0122528076171875,0.0132598876953125,0.01611328125]","[1.6883583614044189,1.8271275417938233,2.220306886230469]","[1.6883583614044189,1.8271275417938233,2.220306886230469]","[1.2668112798264641,1.3709327548806942,1.665943600867679]","complete-cycle volume conservation, not independently logged SSD rates",2093.3556025906855,2103.0277675076777,,False,2100.6128341697654,9.672164916992188,2.4149333379123163,2.4149333379123163,0.0,75.03213232365543,12.890625,False,A,A
8,True,8000009,0,A,8000009,1,A,32:1024,32:1024,A,2001.7876995918361,2011.3255871650783,7.257231579079756,7.257231579079756,9.537887573242188,"[0.0112457275390625,0.01611328125,0.0142669677734375]","[0.0112457275390625,0.01611328125,0.0142669677734375]","[1.5495891810150146,2.220306886230469,1.9658967221832275]","[1.5495891810150146,2.220306886230469,1.9658967221832275]","[1.1790585129784426,1.6893972723273207,1.4958205015398152]","complete-cycle volume conservation, not independently logged SSD rates",2001.7876995918361,2011.3255871650783,,False,2009.0449311709158,9.537887573242188,2.2806559941625437,2.2806559941625437,0.0,76.0884579876928,12.890625,False,A,A
8,True,8000010,3,A,8000010,4,A,32:1024,32:1024,A,2083.897902955876,2093.3556025906855,7.257231579079756,7.257231579079756,9.457699634809615,"[0.0122528076171875,0.0132598876953125,0.01611328125]","[0.0122528076171875,0.0132598876953125,0.01611328125]","[1.6883583614044189,1.8271275417938233,2.220306886230469]","[1.6883583614044189,1.8271275417938233,2.220306886230469]","[1.2955378252963679,1.402020386279631,1.7037209757322098]","complete-cycle volume conservation, not independently logged SSD rates",2083.897902955876,2093.3556025906855,,False,2091.155134534956,9.457699634809615,2.2004680557297434,2.2004680557297434,0.0,76.73358067292698,12.890625,False,A,A
1,True,1000010,4,A,1000010,5,A,32:1024,32:1024,A,2088.4129786394697,2097.7615779324824,7.257231579079756,7.257231579079756,9.34859929301274,"[0.01141357421875,0.0147705078125,0.01544189453125]","[0.01141357421875,0.0147705078125,0.01544189453125]","[1.572717377746582,2.0352813123779296,2.1277940993041993]","[1.572717377746582,2.0352813123779296,2.1277940993041993]","[1.2208860237790542,1.5799701484199524,1.651786973348132]","complete-cycle volume conservation, not independently logged SSD rates",2088.4129786394697,2097.7615779324824,,False,2095.6702102185495,9.34859929301274,2.0913677139328684,2.0913677139328684,0.0,77.62907951893821,12.353515625,False,A,A
11,True,11000010,2,A,11000010,3,A,32:1024,32:1024,A,2094.270266994982,2103.602542385607,7.257231579079756,7.257231579079756,9.332275390625,"[0.01275634765625,0.01611328125,0.01275634765625]","[0.01275634765625,0.01611328125,0.01275634765625]","[1.757742951599121,2.220306886230469,1.757742951599121]","[1.757742951599121,2.220306886230469,1.757742951599121]","[1.3669064748201438,1.7266187050359711,1.3669064748201438]","complete-cycle volume conservation, not independently logged SSD rates",2094.270266994982,2103.602542385607,,False,2101.527498574062,9.332275390625,2.075043811545129,2.075043811545129,0.0,77.76486735882453,12.890625,False,A,A
10,True,10000010,2,A,10000010,3,A,32:1024,32:1024,A,2087.4541152478464,2096.6915553494746,7.257231579079756,7.257231579079756,9.23744010162818,"[0.01141357421875,0.013763427734375,0.016448974609375]","[0.01141357421875,0.013763427734375,0.016448974609375]","[1.572717377746582,1.8965121319885254,2.2665632796936035]","[1.572717377746582,1.8965121319885254,2.2665632796936035]","[1.2355776160040546,1.4899612428284188,1.7806853877705493]","complete-cycle volume conservation, not independently logged SSD rates",2087.4541152478464,2096.6915553494746,,False,2094.7113468269263,9.23744010162818,1.9802085225483097,1.9802085225483097,0.0,78.56323287877778,13.1591796875,False,A,A
9,True,9000010,3,A,9000010,4,A,32:1024,32:1024,A,2092.9569667264277,2102.045864431506,7.257231579079756,7.257231579079756,9.088897705078125,"[0.0132598876953125,0.013092041015625,0.0152740478515625]","[0.0132598876953125,0.013092041015625,0.0152740478515625]","[1.8271275417938233,1.8039993450622558,2.104665902572632]","[1.8271275417938233,1.8039993450622558,2.104665902572632]","[1.4589104339796861,1.440443213296399,1.680517082179132]","complete-cycle volume conservation, not independently logged SSD rates",2092.9569667264277,2102.045864431506,,False,2100.2141983055076,9.088897705078125,1.8316661259982538,1.8316661259982538,0.0,79.84721376086138,12.21923828125,False,A,A
3,True,3000018,3,A,3000018,4,A,32:1024,32:1024,A,3962.2926681306776,3971.251484658998,7.257231579079756,7.257231579079756,8.958816528320312,"[0.0120849609375,0.0162811279296875,0.0132598876953125]","[0.0120849609375,0.0162811279296875,0.0132598876953125]","[1.6652301646728516,2.243435082962036,1.8271275417938233]","[1.6652301646728516,2.243435082962036,1.8271275417938233]","[1.3489461358313817,1.8173302107728337,1.4800936768149884]","complete-cycle volume conservation, not independently logged SSD rates",3962.2926681306776,3971.251484658998,,False,3969.5498997097575,8.958816528320312,1.7015849492404413,1.7015849492404413,0.0,81.00658782483642,13.02490234375,False,A,A
