npu_id,fifo_position,request_id,original_request_id,original_fifo_id,role
0,0,0,7,7,B
0,1,1,23,23,B
0,2,2,25,25,B
0,3,3,31,31,B
0,4,4,4,4,B
0,5,5,10,10,B
0,6,6,5,5,B
0,7,7,15,15,A
0,8,8,30,30,A
0,9,9,0,0,A
0,10,10,19,19,B
0,11,11,8,8,B
0,12,12,14,14,B
0,13,13,24,24,A
0,14,14,22,22,B
0,15,15,29,29,B
0,16,16,13,13,B
0,17,17,27,27,A
0,18,18,21,21,A
0,19,19,6,6,A
0,20,20,16,16,B
0,21,21,28,28,B
0,22,22,18,18,A
0,23,23,11,11,B
0,24,24,3,3,A
0,25,25,17,17,B
0,26,26,26,26,B
0,27,27,2,2,B
0,28,28,1,1,B
0,29,29,32,32,B
0,30,30,12,12,A
0,31,31,9,9,A
0,32,32,20,20,B
1,0,1000000,1000005,1000005,B
1,1,1000001,1000031,1000031,B
1,2,1000002,1000019,1000019,B
1,3,1000003,1000008,1000008,B
1,4,1000004,1000024,1000024,A
1,5,1000005,1000018,1000018,A
1,6,1000006,1000010,1000010,B
1,7,1000007,1000011,1000011,B
1,8,1000008,1000013,1000013,B
1,9,1000009,1000025,1000025,B
1,10,1000010,1000021,1000021,A
1,11,1000011,1000003,1000003,A
1,12,1000012,1000009,1000009,A
1,13,1000013,1000026,1000026,B
1,14,1000014,1000020,1000020,B
1,15,1000015,1000017,1000017,B
1,16,1000016,1000015,1000015,A
1,17,1000017,1000032,1000032,B
1,18,1000018,1000000,1000000,A
1,19,1000019,1000029,1000029,B
1,20,1000020,1000027,1000027,A
1,21,1000021,1000016,1000016,B
1,22,1000022,1000007,1000007,B
1,23,1000023,1000028,1000028,B
1,24,1000024,1000002,1000002,B
1,25,1000025,1000001,1000001,B
1,26,1000026,1000022,1000022,B
1,27,1000027,1000006,1000006,A
1,28,1000028,1000004,1000004,B
1,29,1000029,1000012,1000012,A
1,30,1000030,1000030,1000030,A
1,31,1000031,1000023,1000023,B
1,32,1000032,1000014,1000014,B
2,0,2000000,2000030,2000030,A
2,1,2000001,2000015,2000015,A
2,2,2000002,2000009,2000009,A
2,3,2000003,2000031,2000031,B
2,4,2000004,2000032,2000032,B
2,5,2000005,2000018,2000018,A
2,6,2000006,2000013,2000013,B
2,7,2000007,2000025,2000025,B
2,8,2000008,2000003,2000003,A
2,9,2000009,2000026,2000026,B
2,10,2000010,2000020,2000020,B
2,11,2000011,2000006,2000006,A
2,12,2000012,2000022,2000022,B
2,13,2000013,2000007,2000007,B
2,14,2000014,2000011,2000011,B
2,15,2000015,2000028,2000028,B
2,16,2000016,2000012,2000012,A
2,17,2000017,2000001,2000001,B
2,18,2000018,2000017,2000017,B
2,19,2000019,2000024,2000024,A
2,20,2000020,2000002,2000002,B
2,21,2000021,2000019,2000019,B
2,22,2000022,2000014,2000014,B
2,23,2000023,2000016,2000016,B
2,24,2000024,2000010,2000010,B
2,25,2000025,2000000,2000000,A
2,26,2000026,2000021,2000021,A
2,27,2000027,2000027,2000027,A
2,28,2000028,2000005,2000005,B
2,29,2000029,2000004,2000004,B
2,30,2000030,2000008,2000008,B
2,31,2000031,2000023,2000023,B
2,32,2000032,2000029,2000029,B
3,0,3000000,3000023,3000023,B
3,1,3000001,3000021,3000021,A
3,2,3000002,3000026,3000026,B
3,3,3000003,3000003,3000003,A
3,4,3000004,3000012,3000012,A
3,5,3000005,3000029,3000029,B
3,6,3000006,3000024,3000024,A
