window,strategy,U_percent,SLO_1p5_percent,cohort_count,passed,all32active,mixed_cards
"[2,4)",od_baseline,81.88400835511226,70.64220183486239,109,77,True,32
"[2,4)",once,93.55754829798157,81.08108108108108,111,90,True,32
"[8,12)",od_baseline,75.08735376389944,62.5,256,160,True,32
"[8,12)",once,98.9683500270432,98.27586206896552,290,285,True,32
"[12,20)",od_baseline,81.30787678730744,64.28571428571429,448,288,True,32
"[12,20)",once,98.88905841954647,100.0,573,573,True,32
"[20,40)",od_baseline,79.32167520332294,67.56756756756756,1184,800,True,32
"[20,40)",once,98.94501244761382,99.86120749479528,1441,1439,True,32
"[40,60)",od_baseline,80.17518267885139,66.66666666666667,1152,768,True,32
"[40,60)",once,98.90282161948711,99.3060374739764,1441,1431,True,32
"[20,60)",od_baseline,79.74842894108717,67.12328767123287,2336,1568,True,32
"[20,60)",once,98.92391703355048,99.58362248438584,2882,2870,True,32
