regime,policy,seed,npu_id,U_percent,mean_demand_GiB_s,mean_supply_GiB_s,source_cycle_count
full,od_baseline,7,0,42.813854446334155,19.22794481990257,4.164518263671867,53
full,od_baseline,7,1,100.0,2.020243207766629,1.9234390258789062,23
full,od_baseline,7,2,61.47007975905562,12.250225738315997,3.8438568115234375,58
full,od_baseline,7,3,62.055683132991724,12.170503813432804,3.6583023071289062,44
full,od_baseline,7,4,52.25959261011345,12.5818811678654,4.251808166503906,54
full,od_baseline,7,5,34.25133495467397,19.153967800188347,4.6360931396484375,51
full,od_baseline,7,6,71.88466202405817,8.710070356934349,3.310440063476567,44
full,od_baseline,7,7,74.54732732370081,9.252935898364292,3.6955992617187485,51
full,od_baseline,7,8,47.211048022948894,13.555020994611784,4.091346740722656,57
full,od_baseline,7,9,75.1366517279226,9.031777673591632,2.849365234375,41
full,od_baseline,7,10,56.50379360969573,12.812626661298898,3.375732421875,31
full,od_baseline,7,11,80.24071573089361,5.373937956975902,3.0859089824218744,40
full,od_baseline,7,12,60.93572670232027,8.430338324057315,3.7828445434570312,50
full,od_baseline,7,13,63.01024947200365,11.94243704217563,3.13134765625,45
full,od_baseline,7,14,84.96928339550134,5.029300993235372,2.5177001953125,27
full,od_baseline,7,15,66.28266857264391,11.807359493821115,3.66939049853514,46
full,od_baseline,7,16,61.43595954255953,10.916786543405891,3.8937911987304688,56
full,od_baseline,7,17,41.66916253971697,19.151801630919795,4.78525590625,54
full,od_baseline,7,18,65.5544460781398,10.773378451796201,3.302886962890625,42
full,od_baseline,7,19,76.24780139053253,6.280639348086013,4.078758239746094,60
full,od_baseline,7,20,50.606690740407146,13.89213611701074,3.8321075439453125,87
full,od_baseline,7,21,58.05212579367817,14.157111368072206,3.4951553344726562,54
full,od_baseline,7,22,62.59247867889765,10.809041606205176,3.488525390625,46
full,od_baseline,7,23,81.59012442735317,7.825751073820862,3.11456298828125,40
full,od_baseline,7,24,47.261445385041725,17.954268140623142,4.131965637207031,54
full,od_baseline,7,25,88.05232200257392,3.428355033268677,2.5970077514648438,41
full,od_baseline,7,26,27.731293545941046,22.70463284126606,4.403961181640625,75
full,od_baseline,7,27,68.76802800938663,8.099918293917781,3.5963668823242188,41
full,od_baseline,7,28,24.246362330865917,25.04946963460683,4.2879791259765625,65
full,od_baseline,7,29,57.8072364416887,12.723679305690142,3.9837570190429688,55
full,od_baseline,7,30,48.607470647827334,16.025916116702625,3.9434738159179688,58
full,od_baseline,7,31,65.17198400981154,11.410193757407022,3.0842666625976562,34
full,once,7,0,64.98899944058255,8.94524950229612,6.063713073730469,86
