total_K,miss,policy,count,C_layer_ms,V_layer_MiB,ratio_median,internal_read_latency_mean_ms,gap_count
32,256,asu_baseline,33,1.9974796959734433,43.65625,14.492391028101272,30.220432955831253,0
32,256,od_baseline,29,1.9974796959734433,43.65625,4.25516626849901,9.263871695377444,0
32,1024,asu_baseline,21,7.257231579079756,42.62500000000001,3.9539002563858063,29.65871123964194,8
32,1024,od_baseline,25,7.257231579079756,42.62500000000001,1.1992585952833754,8.73724788073962,0
32,2048,asu_baseline,18,14.369102622125,41.25000000000001,2.105004912805179,29.398894289624195,12
32,2048,od_baseline,16,14.369102622125,41.25000000000001,0.9999999999999969,8.567072273105627,0
32,4096,asu_baseline,13,28.592841995880782,38.5,1.1696998776840082,30.671035478382752,0
32,4096,od_baseline,8,28.592841995880782,38.5,1.0009402404600767,7.888266172454523,0
64,256,asu_baseline,34,3.3396570206571456,87.65625,9.285619844413468,31.63777185078715,0
64,256,od_baseline,36,3.3396570206571456,87.65625,5.111684517040314,18.224600807646638,0
64,1024,asu_baseline,35,12.625940760424301,86.625,2.3431378183146863,30.988415959073052,35
64,1024,od_baseline,37,12.625940760424301,86.625,1.4579912488840174,18.229289780959423,0
64,2048,asu_baseline,11,25.106517917176127,85.25,1.247053529930019,31.042136779437875,0
64,2048,od_baseline,13,25.106517917176127,85.25,0.9999999999999952,17.18751065933231,0
64,4096,asu_baseline,13,50.06766996068876,82.5,1.052208791978407,30.45914825088928,0
64,4096,od_baseline,14,50.06766996068876,82.5,1.0153275507764268,17.231706904378132,0
80,256,asu_baseline,40,4.010745621755773,109.65625000000001,7.626262755473746,31.33536276411054,0
80,256,od_baseline,41,4.010745621755773,109.65625000000001,5.334191915751291,22.359864576747018,0
80,1024,asu_baseline,22,15.310296145067996,108.62500000000001,2.0056665168474224,30.604055288070676,17
80,1024,od_baseline,20,15.310296145067996,108.62500000000001,1.5361785306868125,22.601151692806482,0
80,2048,asu_baseline,16,30.475232543852318,107.25,1.1341272300888465,32.44846239682836,0
80,2048,od_baseline,14,30.475232543852318,107.25,1.0452970969369648,22.48276720131318,0
80,4096,asu_baseline,10,60.80510334800196,104.5,1.046401435517407,30.895535065845735,0
80,4096,od_baseline,11,60.80510334800196,104.5,1.0307973865679212,21.425345509514056,0
128,256,asu_baseline,46,6.024011548589168,175.65625,5.304641132736179,33.69593027261284,0
128,256,od_baseline,45,6.024011548589168,175.65625,5.737408236511607,36.41262756153201,0
128,1024,asu_baseline,24,23.363359736359623,174.625,1.411413359075011,33.101311977789095,0
128,1024,od_baseline,25,23.363359736359623,174.625,1.5389384589224673,35.23466854608157,0
128,2048,asu_baseline,13,46.58135868432481,173.25,1.0498596637780837,33.108672468959476,0
128,2048,od_baseline,15,46.58135868432481,173.25,1.0553629405080447,36.14807398152279,0
128,4096,asu_baseline,12,93.01732520235409,170.5,1.0154940985617955,31.607814185387667,0
128,4096,od_baseline,9,93.01732520235409,170.5,1.0142846897664328,36.189907721188696,0
160,256,asu_baseline,51,7.366188833782921,219.65625,4.409872187823824,33.6884514550314,3
160,256,od_baseline,54,7.366188833782921,219.65625,6.071146455228798,45.85381346448752,0
160,1024,asu_baseline,39,28.732067426025328,218.62500000000003,1.2268410728851509,33.770494347471725,0
160,1024,od_baseline,36,28.732067426025328,218.62500000000003,1.6269214628220334,45.59020676933181,0
160,2048,asu_baseline,22,57.31877271428324,217.25000000000003,1.01958581679417,33.49630953506879,0
160,2048,od_baseline,21,57.31877271428324,217.25000000000003,1.0573129325067083,44.53212856668961,0
160,4096,asu_baseline,13,114.4921718038388,214.5,1.006561943705188,32.425497837322744,0
160,4096,od_baseline,14,114.4921718038388,214.5,1.0242831298141137,44.55298746110219,0
200,256,asu_baseline,43,9.043910535256627,274.65625,3.8159122257506812,34.706078616695386,17
200,256,od_baseline,44,9.043910535256627,274.65625,6.116143663869466,56.040038097554884,0
200,1024,asu_baseline,37,35.44295093756352,273.62500000000006,1.100795275689796,35.07251196211131,0
200,1024,od_baseline,38,35.44295093756352,273.62500000000006,1.6322445509205634,56.08676922364421,0
200,2048,asu_baseline,6,70.74053784115809,272.25000000000006,1.0330112883080398,30.597811797835593,0
200,2048,od_baseline,4,70.74053784115809,272.25000000000006,1.0744580059149236,57.57305805962688,0
200,4096,asu_baseline,17,141.33578827944143,269.5,1.019663305296561,33.35899935094987,0
200,4096,od_baseline,17,141.33578827944143,269.5,1.0408397110072654,56.656712821750936,0
