total_K,miss,C_layer_ms,V_layer_GiB,request_count,ratio_min,ratio_median,ratio_max,B_min_GiB_s,B_max_GiB_s,count_le_1p5,count_1p5_to_4,count_gt_4
32,256,1.9974796959734433,0.042633056640625,29,3.588658678248402,4.25516626849901,4.810710689866842,21.343424279388426,21.343424279388426,0,5,24
32,1024,7.257231579079756,0.04162597656250001,25,1.0738604036294086,1.1992585952833754,1.368226457445938,5.735792789428712,5.735792789428712,25,0,0
32,2048,14.369102622125,0.04028320312500001,16,1.0,1.0,1.0438448436489365,2.803459908691407,2.803459908691407,16,0,0
32,4096,28.592841995880782,0.03759765625,8,1.0,1.0009402404600745,1.0155045410127737,1.3149324665039066,1.3149324665039066,8,0,0
64,256,3.3396570206571456,0.085601806640625,36,3.9716244688407336,5.111684517040314,5.859037790501031,25.63191552639771,25.63191552639771,0,1,35
64,1024,12.625940760424301,0.0845947265625,37,1.2185581858693082,1.4579912488840174,1.638590562448879,6.70007314050293,6.70007314050293,22,15,0
64,2048,25.106517917176127,0.083251953125,13,1.0,1.0,1.0763829460499614,3.3159498023437504,3.3159498023437504,13,0,0
64,4096,50.06766996068876,0.08056640625,14,1.0,1.0153275507764268,1.0371275306607377,1.609150302246094,1.609150302246094,14,0,0
80,256,4.010745621755773,0.10708618164062501,41,4.234373670914471,5.334191915751291,6.0664281191604195,26.699818871521,26.699818871521,0,0,41
80,1024,15.310296145067996,0.10607910156250001,20,1.2522738400012903,1.5361785306868125,1.628714278246443,6.928611997924805,6.928611997924805,7,13,0
80,2048,30.475232543852318,0.104736328125,14,1.0,1.0452970969369648,1.0716025902556885,3.436768791650391,3.436768791650391,14,0,0
80,4096,60.80510334800196,0.10205078125,11,1.0,1.0307973865679212,1.0390440949518591,1.678325923828125,1.678325923828125,11,0,0
128,256,6.024011548589168,0.171539306640625,45,4.109652770445076,5.737408236511607,6.624999035366144,28.475925926934814,28.475925926934814,0,0,45
128,1024,23.363359736359623,0.1705322265625,25,1.2619244038818742,1.5389384589224673,1.7368848416987588,7.299131138964844,7.299131138964844,9,16,0
128,2048,46.58135868432481,0.169189453125,15,1.0,1.0553629405080447,1.0973918034103127,3.6321279134765616,3.6321279134765616,15,0,0
128,4096,93.01732520235409,0.16650390625,9,1.0,1.0142846897664328,1.0464824648882334,1.7900311139648435,1.7900311139648435,9,0,0
160,256,7.366188833782921,0.214508056640625,54,5.039145763958706,6.071146455228798,6.750055397625071,29.120629606567384,29.120629606567384,0,0,54
160,1024,28.732067426025328,0.21350097656250003,36,1.2775174601277455,1.6269214628220334,1.8142302265732846,7.430755796191407,7.430755796191407,4,32,0
160,2048,57.31877271428324,0.21215820312500003,21,1.0,1.0573129325067083,1.097841665017008,3.7013737921875007,3.7013737921875007,21,0,0
160,4096,114.4921718038388,0.20947265625,14,1.0,1.0242831298141137,1.0498396481841203,1.8295805988281253,1.8295805988281253,14,0,0
200,256,9.043910535256627,0.268218994140625,44,4.659581191591477,6.116143663869466,6.851750288873248,29.65741347119751,29.65741347119751,0,0,44
200,1024,35.44295093756352,0.26721191406250006,38,1.388344565406613,1.6322445509205634,1.795731024733352,7.539211803588868,7.539211803588868,5,33,0
200,2048,70.74053784115809,0.26586914062500006,4,1.0,1.0744580059149236,1.0870096031373029,3.758370359326173,3.758370359326173,4,0,0
200,4096,141.33578827944143,0.26318359375,17,1.0,1.0408397110072654,1.0487109720760996,1.8621157242187503,1.8621157242187503,17,0,0
