scenario,policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
full,od_baseline,7,5,0,80,256,SS,2418.1911380419447,2582.0091213785918,163.8179833366471,32.085964974046185,5.105596277660865
full,od_baseline,7,6,0,64,1024,SL,2582.0091213785918,2744.724453138354,162.7153317597622,101.00752608339441,1.6109228497034986
full,od_baseline,7,7,0,80,256,SS,2744.724453138354,2915.87714811199,171.15269497363624,32.085964974046185,5.334191915751291
full,od_baseline,7,8,0,64,1024,SL,2915.87714811199,3081.3871270885493,165.50997897655907,101.00752608339441,1.638590562448879
full,od_baseline,7,9,0,200,256,LS,3081.3871270885493,3561.3545963751003,479.967469286551,72.35128428205302,6.633848646216894
full,od_baseline,7,10,0,200,256,LS,3561.3545963751003,4052.0333836065456,490.6787872314453,72.35128428205302,6.78189464223733
full,od_baseline,7,1000008,1,200,4096,LL,2549.182136579771,3679.8684428153038,1130.6863062355328,1130.6863062355314,1.0
full,od_baseline,7,1000009,1,80,2048,SL,3679.8684428153038,3923.670303166121,243.80186035081715,243.80186035081854,1.0
full,od_baseline,7,1000010,1,32,256,SS,3923.670303166121,3993.839873299489,70.16957013336832,15.979837567787547,4.391131626695471
full,od_baseline,7,1000011,1,64,4096,SL,3993.839873299489,4409.252344597617,415.41247129812746,400.5413596855101,1.0371275306607377
full,od_baseline,7,2000007,2,32,2048,SL,2327.8957796634845,2442.848600640484,114.95282097699965,114.952820977,1.0
full,od_baseline,7,2000008,2,32,256,SS,2442.848600640484,2509.4751729821064,66.62657234162225,15.979837567787547,4.169414867891357
full,od_baseline,7,2000009,2,64,1024,SL,2509.4751729821064,2668.387683216479,158.9125102343728,101.00752608339441,1.5732739568650613
full,od_baseline,7,2000010,2,160,256,LS,2668.387683216479,3048.315180337689,379.92749712120985,58.92951067026337,6.447151737727332
full,od_baseline,7,2000011,2,80,2048,SL,3048.315180337689,3308.891400560778,260.57622022308897,243.80186035081854,1.0688032480479557
