regime,policy,seed,request_id,npu_id,admission_ms,completion_ms,ideal_ms,ratio,passed,completed_after_window,raw_ratio,category,seq_len_k,miss_tokens
full,baseline,19,9,0,2196.2616466436552,2439.4123019538624,48.19209238871334,5.045447152387046,False,False,5.045447152387046,LS,128,256
full,baseline,19,10,0,2439.4123019538624,2673.4193173668723,15.979837567787547,14.643891993290692,False,False,14.643891993290692,SS,32,256
full,baseline,19,11,0,2673.4193173668723,2953.6582215465573,101.00752608339441,2.7744358766723245,False,False,2.7744358766723245,SL,64,1024
full,baseline,19,12,0,2953.6582215465573,3231.3729192646488,229.85653940820262,1.2082088176960561,True,False,1.2082088176960561,LL,160,1024
full,baseline,19,13,0,3231.3729192646488,3530.454037265689,283.5436075005082,1.0547976046347793,True,False,1.0547976046347793,LL,200,1024
full,baseline,19,14,0,3530.454037265689,3911.6914968183473,372.6508694745985,1.0230419161242432,True,False,1.0230419161242432,LL,128,2048
full,baseline,19,15,0,3911.6914968183473,4151.458842786234,72.35128428205302,3.313933516828552,False,True,3.313933516828552,LS,200,256
full,baseline,19,1000006,1,2868.7151248583523,3133.502079953309,200.85214333740902,1.3183177968389634,True,False,1.3183177968389634,SL,64,2048
full,baseline,19,1000007,1,3133.502079953309,3595.1070596683667,458.55018171426593,1.0066618619348737,True,False,1.0066618619348737,LL,160,2048
full,baseline,19,1000008,1,3595.1070596683667,3854.9786698152284,58.92951067026337,4.409872187823824,False,False,4.409872187823824,LS,160,256
full,baseline,19,1000009,1,3854.9786698152284,4121.533960279058,48.19209238871334,5.531100171244224,False,True,5.531100171244224,LS,128,256
full,baseline,19,2000008,2,2245.138209492219,2509.9012721379395,229.85653940820262,1.1518622151337932,True,False,1.1518622151337932,LL,160,1024
full,baseline,19,2000009,2,2509.9012721379395,2751.782643307801,200.85214333740902,1.2042757779464082,True,False,1.2042757779464082,SL,64,2048
full,baseline,19,2000010,2,2751.782643307801,3049.0475665959475,229.85653940820262,1.293262850182535,True,False,1.293262850182535,LL,160,1024
full,baseline,19,2000011,2,3049.0475665959475,3454.6217361747686,400.5413596855101,1.0125650192461086,True,False,1.0125650192461086,SL,64,4096
