policy,category,count_total,count_seed7,count_seed19,count_seed43,slo_1p5_percent,ratio_min,ratio_max
baseline,SS,107,42,31,34,0.0,5.596684955771866,16.562048125692833
baseline,LS,140,47,43,50,0.0,2.545643723639973,6.399230567959365
baseline,SL,159,56,61,42,40.495706479313036,0.9999999999999994,5.0727241360150845
baseline,LL,183,61,62,60,95.08079205593747,0.9999999999999958,1.7588603424075098
baseline,ALL,589,206,197,186,40.29543087150067,0.9999999999999958,16.562048125692833
od_baseline,SS,106,41,34,31,0.0,3.588658678248402,6.0664281191604195
od_baseline,LS,143,46,44,53,0.0,4.109652770445076,6.851750288873248
od_baseline,SL,158,55,61,42,81.93811652828046,1.0,1.638590562448879
od_baseline,LL,179,58,60,61,54.61654418692293,1.0,1.8142302265732846
od_baseline,ALL,586,200,199,187,38.9136502476733,1.0,6.851750288873248
once,SS,116,41,36,39,99.1869918699187,0.9999999999999648,1.548017680959685
once,LS,133,44,46,43,84.79103471520054,0.99999999999997,3.207206004021637
once,SL,176,65,61,50,99.48717948717949,0.9999999999999943,1.6851750822738074
once,LL,177,60,60,57,31.11111111111111,1.0000000000000016,5.270286876532773
once,ALL,602,210,203,189,76.13026819923371,0.9999999999999648,5.270286876532773
