group,seed,strategy,U_warm_percent,U_full_percent,SLO_full_1p5_percent,SLO_full_1p5_passed,SLO_full_count,SLO_warm_1p5_percent,SLO_warm_1p5_passed,SLO_warm_count,U_A_warm_percent,U_B_warm_percent,capacity,input_fingerprint
XY12_32,7,asu_baseline,99.63236194298321,99.13599618538076,100.0,416,416,100.0,100,100,100.0,99.22274396394508,40 GB/s (decimal),be2553fba4fbbcd7b049cde6451a66b9a87305d3beb45f09bb1c6802cf87d471
XY12_32,7,od_baseline,99.7719061165539,99.22575956185152,100.0,416,416,100.0,100,100,99.57004738993957,100.0,40 GB/s (decimal),be2553fba4fbbcd7b049cde6451a66b9a87305d3beb45f09bb1c6802cf87d471
XY12_32,7,once,99.93993532106748,99.32607629171851,100.0,416,416,100.0,100,100,99.89204953608554,99.9935396930866,40 GB/s (decimal),be2553fba4fbbcd7b049cde6451a66b9a87305d3beb45f09bb1c6802cf87d471
XY12_32,19,asu_baseline,99.81001459930211,99.22066671563992,100.0,416,416,100.0,79,79,99.92494507883158,99.59496154481829,40 GB/s (decimal),15b3ab1eaa18bf6e1e27044873c5329b6fba5263b3791014abb4993580cb3c78
XY12_32,19,od_baseline,99.71604250986168,99.21157553465353,100.0,416,416,100.0,78,78,99.56400115312579,100.0,40 GB/s (decimal),15b3ab1eaa18bf6e1e27044873c5329b6fba5263b3791014abb4993580cb3c78
XY12_32,19,once,99.77692831527192,99.11901638485375,100.0,416,416,100.0,78,78,99.65766876061188,99.99999999999999,40 GB/s (decimal),15b3ab1eaa18bf6e1e27044873c5329b6fba5263b3791014abb4993580cb3c78
XY12_32,43,asu_baseline,99.78007531179792,98.99898784672942,100.0,416,416,100.0,88,88,99.87560460176194,99.6364033330405,40 GB/s (decimal),25e7e496c33a1cf2dd634b173420327978cafd650b317459118c87be23ee49ff
XY12_32,43,od_baseline,99.83941022398778,99.17298490251265,100.0,416,416,100.0,88,88,99.73379026399306,100.0,40 GB/s (decimal),25e7e496c33a1cf2dd634b173420327978cafd650b317459118c87be23ee49ff
XY12_32,43,once,99.81897400623505,99.31217675712088,100.0,416,416,100.0,87,87,99.69947499477107,100.0,40 GB/s (decimal),25e7e496c33a1cf2dd634b173420327978cafd650b317459118c87be23ee49ff
XY12_24,7,asu_baseline,98.6555316142591,96.28430018460217,100.0,520,520,100.0,130,130,99.87115119134094,97.26722624663645,40 GB/s (decimal),98a386a9dbc744a0ae8d751098303bc65b3fb2dbb0b64f2ba77c403925fe6571
