group,strategy,seeds,U_warm_percent,U_full_percent,SLO_full_1p5_percent,SLO_full_1p5_passed,SLO_full_count,SLO_warm_1p5_percent,SLO_warm_1p5_passed,SLO_warm_count,SLO_warm_1p5_seed_mean_percent,U_A_warm_percent,U_B_warm_percent,capacity
XY12_32,asu_baseline,"7,19,43",99.74081728469442,99.11855024925005,100.0,1248,1248,100.0,267,267,100.0,99.93351656019784,99.48470294726796,40 GB/s (decimal)
XY12_32,od_baseline,"7,19,43",99.77578628346778,99.20343999967257,100.0,1248,1248,100.0,266,266,100.0,99.62261293568615,100.0,40 GB/s (decimal)
XY12_32,once,"7,19,43",99.84527921419148,99.25242314456437,100.0,1248,1248,100.0,265,265,100.0,99.74973109715616,99.99784656436219,40 GB/s (decimal)
XY12_24,asu_baseline,"7,19,43",98.27991793108485,96.92267374073708,100.0,1560,1560,100.0,377,377,100.0,99.7835944068914,96.43196403143584,40 GB/s (decimal)
XY12_24,od_baseline,"7,19,43",99.26175464704743,98.78826470377753,100.0,1560,1560,100.0,376,376,100.0,98.69497586558009,100.0,40 GB/s (decimal)
XY12_24,once,"7,19,43",99.12906510206834,98.63098886523393,100.0,1560,1560,100.0,373,373,100.0,99.12251730488713,99.13564397743296,40 GB/s (decimal)
XY12_20,asu_baseline,"7,19,43",95.02517191117067,94.44287023247684,99.1025641025641,1546,1560,98.65771812080537,441,447,98.57142857142857,99.22146182592826,90.25386042344014,40 GB/s (decimal)
XY12_20,od_baseline,"7,19,43",98.72076609013631,98.23307685422178,100.0,1560,1560,100.0,464,464,100.0,97.70870442740828,100.0,40 GB/s (decimal)
XY12_20,once,"7,19,43",98.6166264971442,97.78227742829849,100.0,1560,1560,100.0,463,463,100.0,98.27109837085709,99.0502011234948,40 GB/s (decimal)
XY12_16,asu_baseline,"7,19,43",90.82923258259471,89.49656808141624,93.42948717948718,1749,1872,94.96644295302013,566,596,94.86526168111845,99.22686031092924,83.80911510934658,40 GB/s (decimal)
XY12_16,od_baseline,"7,19,43",98.05039561756094,97.12916512598262,100.0,1872,1872,100.0,639,639,100.0,96.17509145156775,100.0,40 GB/s (decimal)
XY12_16,once,"7,19,43",97.68899918773782,96.82209623032291,99.67948717948718,1866,1872,100.0,637,637,100.0,97.34136471223303,98.09765303027189,40 GB/s (decimal)
X16,asu_baseline,"7,19,43",92.55579185371003,91.62388677201352,95.88675213675214,1795,1872,95.14018691588785,509,535,95.13355071366122,99.34443227737525,85.18872357350604,40 GB/s (decimal)
X16,od_baseline,"7,19,43",98.77070897273234,97.89928828195309,100.0,1872,1872,100.0,572,572,100.0,97.81124893580431,100.0,40 GB/s (decimal)
X16,once,"7,19,43",98.32526642731848,97.21185665323064,99.73290598290598,1867,1872,100.0,569,569,100.0,98.04922547454514,98.68190286908298,40 GB/s (decimal)
sensitivity20k_076,asu_baseline,7,94.61473519238639,94.7616931950709,98.72448979591837,387,392,98.4375,126,128,98.4375,99.44637933832449,86.70218765886248,40 GiB/s
sensitivity20k_076,od_baseline,7,98.57985774851211,97.96892395958525,100.0,392,392,100.0,137,137,100.0,97.8260178004113,100.00000000000001,40 GiB/s
sensitivity20k_076,once,7,99.25667980495008,98.37062524585355,100.0,392,392,100.0,137,137,100.0,98.94653219483115,99.8374518217091,40 GiB/s
