policy,request_id,npu_id,role,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,slo_1_pass,slo_1p5_pass_recomputed,plot_ratio
baseline,11,0,A,2097.9906494523925,2202.679533066162,104.68888361376958,48.19209238871334,2.1723249276947323,False,False,False,False,2.1723249276947323
baseline,12,0,B,2202.679533066162,2432.1968872453626,229.51735417920054,228.74273596704626,1.0033864166609683,True,False,False,True,1.0033864166609683
baseline,13,0,A,2432.1968872453626,2508.180664205832,75.98377696046919,48.19209238871334,1.5766855762889578,False,False,False,False,1.5766855762889578
baseline,14,0,B,2508.180664205832,2741.807744337181,233.62708013134898,228.74273596704626,1.0213530022872788,True,False,False,True,1.0213530022872788
baseline,15,0,B,2741.807744337181,2970.550480304228,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,16,0,B,2970.550480304228,3199.2932162712755,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,17,0,B,3199.2932162712755,3428.035952238323,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,18,0,B,3428.035952238323,3656.77868820537,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,19,0,B,3656.77868820537,3885.5214241724175,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,20,0,B,3885.5214241724175,4114.264160139464,228.74273596704688,228.74273596704626,1.0000000000000027,True,True,True,True,1.0
baseline,1000011,1,A,2093.5687286760253,2195.0895062106933,101.52077753466801,48.19209238871334,2.1065858007535763,False,False,False,False,2.1065858007535763
baseline,1000012,1,B,2195.0895062106933,2427.4619324113783,232.3724262006849,228.74273596704626,1.0158680021828608,True,False,False,True,1.0158680021828608
baseline,1000013,1,A,2427.4619324113783,2501.517151022238,74.05521861085981,48.19209238871334,1.5366674269615994,False,False,False,False,1.5366674269615994
baseline,1000014,1,A,2501.517151022238,2604.9753266814178,103.45817565917969,48.19209238871334,2.1467873779933604,False,False,False,False,2.1467873779933604
baseline,1000015,1,A,2604.9753266814178,2724.1750031950896,119.19967651367188,48.19209238871334,2.47342812078416,False,False,False,False,2.47342812078416
baseline,1000016,1,B,2724.1750031950896,2959.2371724377667,235.0621692426771,228.74273596704626,1.0276268151157433,True,False,False,True,1.0276268151157433
baseline,1000017,1,B,2959.2371724377667,3187.979908404814,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,1000018,1,A,3187.979908404814,3249.3429644609764,61.36305605616235,48.19209238871334,1.2733013449844246,True,False,False,True,1.2733013449844246
baseline,1000019,1,B,3249.3429644609764,3479.6575903686926,230.31462590771616,228.74273596704626,1.0068718682323374,True,False,False,True,1.0068718682323374
baseline,1000020,1,A,3479.6575903686926,3617.888954451211,138.2313640825182,48.19209238871334,2.8683411993726216,False,False,False,False,2.8683411993726216
baseline,1000021,1,B,3617.888954451211,3857.7288794311926,239.8399249799818,228.74273596704626,1.0485138422692217,True,False,False,True,1.0485138422692217
baseline,1000022,1,B,3857.7288794311926,4086.47161539824,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,True,True,1.0
baseline,2000011,2,B,2181.217089431395,2409.9598253984423,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,2000012,2,B,2409.9598253984423,2638.7025613654896,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,2000013,2,A,2638.7025613654896,2752.2943574431365,113.5917960776469,48.19209238871334,2.3570629629737816,False,False,False,False,2.3570629629737816
baseline,2000014,2,A,2752.2943574431365,2811.2378862554174,58.943528812280874,48.19209238871334,1.223095447627535,True,False,False,True,1.223095447627535
baseline,2000015,2,B,2811.2378862554174,3039.9806222224647,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,2000016,2,A,3039.9806222224647,3088.1727146111766,48.1920923887119,48.19209238871334,0.99999999999997,True,False,True,True,1.0
baseline,2000017,2,B,3088.1727146111766,3316.915450578224,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,2000018,2,A,3316.915450578224,3414.0013964678124,97.0859458895884,48.19209238871334,2.0145617481494966,False,False,False,False,2.0145617481494966
baseline,2000019,2,B,3414.0013964678124,3645.264356115763,231.26295964795054,228.74273596704626,1.0110177211540714,True,False,False,True,1.0110177211540714
baseline,2000020,2,B,3645.264356115763,3874.0070920828102,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,2000021,2,B,3874.0070920828102,4102.749828049858,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,True,True,1.0
baseline,3000011,3,B,2001.4355602878422,2243.3290893938,241.8935291059579,228.74273596704626,1.0574916317377887,True,False,False,True,1.0574916317377887
baseline,3000012,3,B,2243.3290893938,2472.0718253608475,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,3000013,3,A,2472.0718253608475,2560.3734284880584,88.30160312721091,48.19209238871334,1.8322840688256,False,False,False,False,1.8322840688256
baseline,3000014,3,B,2560.3734284880584,2794.809529615501,234.43610112744273,228.74273596704626,1.0248898184081205,True,False,False,True,1.0248898184081205
baseline,3000015,3,B,2794.809529615501,3023.5522655825484,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,3000016,3,B,3023.5522655825484,3252.295001549596,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,3000017,3,A,3252.295001549596,3344.7319109941795,92.43690944458376,48.19209238871334,1.9180928833509752,False,False,False,False,1.9180928833509752
baseline,3000018,3,B,3344.7319109941795,3578.5335516724035,233.80164067822398,228.74273596704626,1.0221161327365889,True,False,False,True,1.0221161327365889
baseline,3000019,3,A,3578.5335516724035,3725.7170184160545,147.18346674365102,48.19209238871334,3.0540999456193276,False,False,False,False,3.0540999456193276
baseline,3000020,3,B,3725.7170184160545,3969.348599890177,243.6315814741224,228.74273596704626,1.0650899161633753,True,False,False,True,1.0650899161633753
baseline,3000021,3,B,3969.348599890177,4198.091335857224,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,True,True,1.0
baseline,4000012,4,A,2208.196367146488,2264.1542071643166,55.95784001782886,48.19209238871334,1.1611415326497478,True,False,False,True,1.1611415326497478
baseline,4000013,4,B,2264.1542071643166,2492.896943131364,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,4000014,4,B,2492.896943131364,2721.6396790984113,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,4000015,4,B,2721.6396790984113,2950.3824150654586,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,4000016,4,A,2950.3824150654586,2998.5745074541705,48.1920923887119,48.19209238871334,0.99999999999997,True,False,True,True,1.0
baseline,4000017,4,B,2998.5745074541705,3227.317243421218,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,4000018,4,A,3227.317243421218,3308.498848250039,81.18160482882104,48.19209238871334,1.6845420234925075,False,False,False,False,1.6845420234925075
