configuration,policy,npu_id,request_id,input_order_1based,role,qos_category,total_tokens,total_length_k,nql_tokens,hit_prefix_tokens,per_layer_read_gib,per_layer_read_mib,per_layer_compute_ms,bandwidth_demand_gib_s,n_layers,num_ssu,arrival_ms,admission_ms,completion_ms,ttft_admission_ms,ttft_arrival_ms,ideal_compute_ms,slo_1p5_ms,ttft_over_ideal,slo_1p5_passed,admitted_in_warm,active_in_warm,computed_in_warm,full_stall_ms,full_active_utilization_percent,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_active_utilization_percent,compute_method,compute_extrapolated,compute_scale,input_fingerprint
sensitivity20k_076_seed7,fifo,0,0,1,S,SL,20480,20.0,1140,19340,0.025360584259033203,25.96923828125,5.821541965990178,4.356334525661992,8,1,0.0,0.0,58.36789322488852,58.36789322488852,58.36789322488852,46.57233572792143,69.85850359188214,1.2532739084824411,True,False,False,False,11.795557496967092,79.79101720954804,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,1,2,L,LL,204800,200.0,2053,202747,0.2658625841140747,272.2432861328125,70.91288952679844,3.7491432923996637,8,1,0.0,58.36789322488852,627.0717110749908,568.7038178501023,627.0717110749908,567.3031162143874,850.954674321581,1.0024690533079772,True,False,False,False,1.4007016357148814,99.75370279014304,0.0,0.0,0.0,,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,2,3,S,SL,20480,20.0,1155,19325,0.025340914726257324,25.9490966796875,5.896228588431703,4.297817553406215,8,1,0.0,627.0717110749908,681.0447695942729,53.97305851928206,681.0447695942729,47.169828707453235,70.75474306117985,1.1442284188484633,True,False,False,False,6.803229811828828,87.3951375029111,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,3,4,S,SL,20480,20.0,1134,19346,0.025368452072143555,25.977294921875,5.7916673170135695,4.380163894708064,8,1,0.0,681.0447695942729,727.3781081303813,46.333338536108386,727.3781081303813,46.333338536108386,69.50000780416258,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,4,5,S,SL,20480,20.0,1129,19351,0.025375008583068848,25.9840087890625,5.766771776199728,4.400210302719981,8,1,0.0,727.3781081303813,780.0254427399175,52.64733460953619,780.0254427399175,46.134174209597404,69.2012613143961,1.1411786492665525,True,False,False,False,6.5131603999387835,87.62869868295472,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,5,6,L,LL,204800,200.0,2047,202753,0.26587045192718506,272.2513427734375,70.70606754144755,3.7602211687325573,8,1,0.0,780.0254427399175,1347.1909769689353,567.1655342290178,1347.1909769689353,565.6485403315801,848.4728104973701,1.002681866546581,True,False,False,False,1.5169938974377146,99.73253066241061,0.0,0.0,0.0,,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,6,7,S,SL,20480,20.0,1154,19326,0.025342226028442383,25.950439453125,5.891249480268936,4.3016725252120045,8,1,0.0,1347.1909769689353,1403.3459826364874,56.15500566755213,1403.3459826364874,47.1299958421514,70.6949937632271,1.1914918442943947,True,False,False,False,9.02500982540073,83.92839655500984,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,7,8,S,SL,20480,20.0,1170,19310,0.025321245193481445,25.928955078125,5.970915210873229,4.240764489063694,8,1,0.0,1403.3459826364874,1457.8284890591137,54.48250642262633,1457.8284890591137,47.76732168698618,71.65098253047927,1.1405811441479594,True,False,False,False,6.71518473564015,87.6746038745909,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,8,9,S,SL,20480,20.0,1150,19330,0.025347471237182617,25.955810546875,5.8713330476178625,4.3171577956162235,8,1,0.0,1457.8284890591137,1509.8117812874505,51.98329222833672,1509.8117812874505,46.97066438094225,70.45599657141338,1.1067182658252601,True,False,False,False,5.012627847394469,90.35723280977186,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,9,10,S,SL,20480,20.0,1132,19348,0.025371074676513672,25.97998046875,5.781709100688032,4.388161741567813,8,1,0.0,1509.8117812874505,1559.3414779212394,49.529696633788944,1559.3414779212394,46.25367280550381,69.38050920825572,1.070827323098444,True,False,False,False,3.2760238282851333,93.38573815117971,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,10,11,L,LL,204800,200.0,2052,202748,0.26586389541625977,272.24462890625,70.87841918967037,3.750985115861699,8,1,0.0,1559.3414779212394,2127.2369717527404,567.895493831501,2127.2369717527404,567.0273535173635,850.5410302760453,1.0015310378040005,True,False,True,True,0.8681403141374631,99.84713026893729,127.23697175274037,127.23697175274037,0.0,100.0,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,11,12,S,SL,20480,20.0,1145,19335,0.02535402774810791,25.9625244140625,5.846437506804022,4.336662748656966,8,1,0.0,2127.2369717527404,2174.618909064405,47.38193731166484,2174.618909064405,46.77150005443036,70.15725008164554,1.0130514791384515,True,True,True,True,0.6104372572344801,98.71166674081054,47.38193731166484,46.77150005443036,0.6104372572344801,98.71166674081054,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,12,13,S,SL,20480,20.0,1136,19344,0.025365829467773438,25.974609375,5.801625533339106,4.372193503701405,8,1,0.0,2174.618909064405,2226.4128805403207,51.79397147591544,2226.4128805403207,46.41300426671296,69.61950640006944,1.1159366279821208,True,True,True,True,5.380967209202481,89.61082331424485,51.79397147591544,46.41300426671296,5.380967209202481,89.61082331424485,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,13,14,S,SL,20480,20.0,1169,19311,0.025322556495666504,25.9302978515625,5.96593610271046,4.244523585185885,8,1,0.0,2226.4128805403207,2275.1189212218037,48.706040681483046,2275.1189212218037,47.727488821685256,71.59123323252788,1.0205028985173252,True,True,True,True,0.9785518597977898,97.99090247101564,48.706040681483046,47.727488821685256,0.9785518597977898,97.99090247101564,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,14,15,S,SL,20480,20.0,1138,19342,0.02536320686340332,25.971923828125,5.811583749664643,4.3642504274100675,8,1,0.0,2275.1189212218037,2323.5397089352364,48.420787713432674,2323.5397089352364,46.492669997318444,69.73900499597767,1.0414714344481708,True,True,True,True,1.9281177161142296,96.01799597411477,48.420787713432674,46.492669997318444,1.9281177161142296,96.01799597411477,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,15,16,S,SL,20480,20.0,1162,19318,0.025331735610961914,25.939697265625,5.931082345571082,4.271013979409321,8,1,0.0,2323.5397089352364,2385.544473313592,62.0047643783555,2385.544473313592,47.4486587645697,71.17298814685455,1.306775913013899,True,True,True,True,14.556105613785803,76.52421429268907,62.0047643783555,47.4486587645697,14.556105613785803,76.52421429268907,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,16,17,S,SL,20480,20.0,1137,19343,0.02536451816558838,25.9732666015625,5.806604641501874,4.368218559999613,8,1,0.0,2385.544473313592,2433.4047089144465,47.860235600854594,2433.4047089144465,46.4528371320157,69.67925569802355,1.0302973629972085,True,True,True,True,1.4073984688388919,97.05935741608894,47.860235600854594,46.4528371320157,1.4073984688388919,97.05935741608894,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,17,18,S,SL,20480,20.0,1133,19347,0.025369763374328613,25.9786376953125,5.7866882088508,4.384159377297242,8,1,0.0,2433.4047089144465,2497.9909164366454,64.58620752219895,2497.9909164366454,46.293505670804734,69.4402585062071,1.39514617841808,True,True,True,True,18.292701851394213,71.67707695933869,64.58620752219895,46.293505670804734,18.292701851394213,71.67707695933869,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,18,19,S,SL,20480,20.0,1127,19353,0.025377631187438965,25.9866943359375,5.756813559874192,4.408277413103085,8,1,0.0,2497.9909164366454,2547.777398624766,49.78648218812077,2547.777398624766,46.05450847899192,69.08176271848788,1.0810338408199758,True,True,True,True,3.7319737091288516,92.50404217147258,49.78648218812077,46.05450847899192,3.7319737091288516,92.50404217147258,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
