policy,scope,entity,average_GiB_s,capacity_GiB_s,utilization_pct
fifo,warm_2_4s,SSU0_actual_service,30.021585954311448,40,75.05396488577863
fifo,warm_2_4s,NPU0_actual_receive,3.5212148427963257,50,7.0424296855926505
fifo,warm_2_4s,NPU1_actual_receive,3.8243472576141357,50,7.6486945152282715
fifo,warm_2_4s,NPU2_actual_receive,3.6423296351944425,50,7.284659270388885
fifo,warm_2_4s,NPU3_actual_receive,3.911556884032689,50,7.823113768065378
fifo,warm_2_4s,NPU4_actual_receive,3.615374207496643,50,7.230748414993286
fifo,warm_2_4s,NPU5_actual_receive,3.8126261830329837,50,7.625252366065967
fifo,warm_2_4s,NPU6_actual_receive,3.7740142345428467,50,7.548028469085693
fifo,warm_2_4s,NPU7_actual_receive,3.920126736164093,50,7.840253472328186
once,warm_2_4s,SSU0_actual_service,31.37840919940519,40,78.44602299851297
once,warm_2_4s,NPU0_actual_receive,3.7746357917785645,50,7.54927158355713
once,warm_2_4s,NPU1_actual_receive,3.773685097694397,50,7.547370195388795
once,warm_2_4s,NPU2_actual_receive,3.9637844586581763,50,7.927568917316352
once,warm_2_4s,NPU3_actual_receive,3.969824433326721,50,7.939648866653442
once,warm_2_4s,NPU4_actual_receive,3.7867168188095093,50,7.5734336376190186
once,warm_2_4s,NPU5_actual_receive,4.103843450546265,50,8.20768690109253
once,warm_2_4s,NPU6_actual_receive,3.8389847459291615,50,7.677969491858323
once,warm_2_4s,NPU7_actual_receive,4.166930198669434,50,8.333860397338867
