experiment,policy,scope,request_group,npu_utilization_percent,slo1_passed,slo15_passed,count,slo1_percent,slo15_percent,ttft_definition,threshold_definition,source_metrics,source_request_csv
sensitivity20k_076,fifo,warm_admissions_2_4s,all,94.61473519238639,13,126,128,10.15625,98.4375,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_fifo/metrics.json,csv/sensitivity20k_076_seed7_fifo_requests.csv
sensitivity20k_076,fifo,warm_admissions_2_4s,A_long_200K,99.44637933832449,3,18,18,16.666666666666668,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_fifo/metrics.json,csv/sensitivity20k_076_seed7_fifo_requests.csv
sensitivity20k_076,fifo,warm_admissions_2_4s,B_short_20K,86.70218765886248,10,108,110,9.090909090909092,98.18181818181819,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_fifo/metrics.json,csv/sensitivity20k_076_seed7_fifo_requests.csv
sensitivity20k_076,fifo,all_input_392,all,,66,387,392,16.836734693877553,98.72448979591837,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_fifo/metrics.json,csv/sensitivity20k_076_seed7_fifo_requests.csv
sensitivity20k_076,fifo,all_input_392,A_long_200K,,8,56,56,14.285714285714286,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_fifo/metrics.json,csv/sensitivity20k_076_seed7_fifo_requests.csv
sensitivity20k_076,fifo,all_input_392,B_short_20K,,58,331,336,17.261904761904763,98.51190476190476,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_fifo/metrics.json,csv/sensitivity20k_076_seed7_fifo_requests.csv
sensitivity20k_076,once,warm_admissions_2_4s,all,99.25667980495007,116,137,137,84.67153284671532,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_once/metrics.json,csv/sensitivity20k_076_seed7_once_requests.csv
sensitivity20k_076,once,warm_admissions_2_4s,A_long_200K,98.94653219483115,3,18,18,16.666666666666668,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_once/metrics.json,csv/sensitivity20k_076_seed7_once_requests.csv
sensitivity20k_076,once,warm_admissions_2_4s,B_short_20K,99.8374518217091,113,119,119,94.95798319327731,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_once/metrics.json,csv/sensitivity20k_076_seed7_once_requests.csv
sensitivity20k_076,once,all_input_392,all,,317,392,392,80.86734693877551,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_once/metrics.json,csv/sensitivity20k_076_seed7_once_requests.csv
sensitivity20k_076,once,all_input_392,A_long_200K,,8,56,56,14.285714285714286,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_once/metrics.json,csv/sensitivity20k_076_seed7_once_requests.csv
sensitivity20k_076,once,all_input_392,B_short_20K,,309,336,336,91.96428571428571,100.0,completion_minus_admission,multiplier_times_8_times_original_layer_compute_ms,native20/sensitivity20k_076_seed7_once/metrics.json,csv/sensitivity20k_076_seed7_once_requests.csv
