id,mode,ssu,x,y,n_A,n_B,input_counts_A_B,A_total_length_k,A_nql,A_V_MB,A_C_ms,A_B_GB_s,A_constructed,A_extrapolated,B_total_length_k,B_nql,B_V_MB,B_C_ms,B_B_GB_s,B_constructed,B_extrapolated,paired_seed_count,seeds,expected_seed_count,all_pairs_matched,all_pairs_underloaded_and_active,series_point_complete_and_eligible,baseline_fleet_mean_pct,baseline_fleet_min_pct,baseline_fleet_max_pct,baseline_A_mean_pct,baseline_A_min_pct,baseline_A_max_pct,baseline_B_mean_pct,baseline_B_min_pct,baseline_B_max_pct,baseline_slo_all_mean_pct,baseline_slo_all_min_pct,baseline_slo_all_max_pct,baseline_slo_warm_mean_pct,baseline_slo_warm_min_pct,baseline_slo_warm_max_pct,once_fleet_mean_pct,once_fleet_min_pct,once_fleet_max_pct,once_A_mean_pct,once_A_min_pct,once_A_max_pct,once_B_mean_pct,once_B_min_pct,once_B_max_pct,once_slo_all_mean_pct,once_slo_all_min_pct,once_slo_all_max_pct,once_slo_warm_mean_pct,once_slo_warm_min_pct,once_slo_warm_max_pct,delta_fleet_mean_pp,delta_A_mean_pp,delta_B_mean_pp,delta_slo_all_mean_pp,delta_slo_warm_mean_pp,worst_full_ordinary_peak_GB_s,worst_full_pending_peak_GB_s
C1,fixed,2,6.512820512820513,8.667543127021338,4,4,,128.0,1024,183.107584,23.363359736359623,7.83738238276731,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,1,7,1,True,True,True,85.64970344957749,85.64970344957749,85.64970344957749,100.0,100.0,100.0,71.29940689915496,71.29940689915496,71.29940689915496,80.9322033898305,80.9322033898305,80.9322033898305,74.67532467532467,74.67532467532467,74.67532467532467,95.1578141120359,95.1578141120359,95.1578141120359,99.99999999999997,99.99999999999997,99.99999999999997,90.31562822407174,90.31562822407174,90.31562822407174,100.0,100.0,100.0,100.0,100.0,100.0,9.508110662458407,-2.842170943040401e-14,19.016221324916785,19.067796610169495,25.324675324675326,39.796102939938365,39.528658649365155
C2,fixed,3,4.0476190476190474,3.1752500469684772,3,5,,128.0,512,183.82848,11.755196923775936,15.638060441862145,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,1,7,1,True,False,False,96.55054610200105,96.55054610200105,96.55054610200105,99.99999999999876,99.99999999999876,99.99999999999876,94.4808737632016,94.4808737632016,94.4808737632016,100.0,100.0,100.0,100.0,100.0,100.0,99.4102872924803,99.4102872924803,99.4102872924803,99.99999999999876,99.99999999999876,99.99999999999876,99.05645966796853,99.05645966796853,99.05645966796853,100.0,100.0,100.0,100.0,100.0,100.0,2.859741190479255,0.0,4.575585904766925,0.0,0.0,40.57228508267143,40.16940187546092
C2,fixed,4,4.0476190476190474,3.1752500469684772,3,5,,128.0,512,183.82848,11.755196923775936,15.638060441862145,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,1,7,1,True,True,True,99.43242897020721,99.43242897020721,99.43242897020721,99.99999999999882,99.99999999999882,99.99999999999882,99.09188635233154,99.09188635233154,99.09188635233154,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999883,99.99999999999883,99.99999999999883,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5675710297927878,1.4210854715202004e-14,0.9081136476684577,0.0,0.0,30.598333877138206,30.59833387713823
D1,fixed,1,3.9365079365079363,25.125335469308776,6,2,,128.0,4096,178.782208,93.01732520235409,1.9220312733253628,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,1,7,1,True,True,True,93.83704717631996,93.83704717631996,93.83704717631996,100.0,100.0,100.0,75.34818870527985,75.34818870527985,75.34818870527985,64.40677966101694,64.40677966101694,64.40677966101694,65.0,65.0,65.0,97.5424527701729,97.5424527701729,97.5424527701729,100.0,100.0,100.0,90.1698110806916,90.1698110806916,90.1698110806916,100.0,100.0,100.0,100.0,100.0,100.0,3.7054055938529444,0.0,14.82162237541175,35.59322033898306,35.0,36.06747693884375,36.067476938843754
D2,fixed,1,6.222222222222222,38.176856694330034,6,2,,200.0,4096,282.591232,141.33578827944143,1.9994315342217222,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,1,7,1,True,True,True,93.20049372701004,93.20049372701004,93.20049372701004,99.99999999999987,99.99999999999987,99.99999999999987,72.80197490804024,72.80197490804024,72.80197490804024,76.78571428571429,76.78571428571429,76.78571428571429,74.54545454545455,74.54545454545455,74.54545454545455,97.28593548085126,97.28593548085126,97.28593548085126,99.99999999999984,99.99999999999984,99.99999999999984,89.14374192340513,89.14374192340513,89.14374192340513,100.0,100.0,100.0,100.0,100.0,100.0,4.0854417538412235,-2.842170943040401e-14,16.341767015364894,23.214285714285708,25.454545454545453,36.53187850422191,36.53187850422191
E1,fixed,1,10.421052631578947,13.489894037702644,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,20.0,1024,27.394048,5.243965419109055,5.223918506437105,True,True,1,7,1,True,True,True,83.50216251273241,83.50216251273241,83.50216251273241,100.00000000000028,100.00000000000028,100.00000000000028,67.00432502546619,67.00432502546619,67.00432502546619,39.83050847457627,39.83050847457627,39.83050847457627,22.22222222222222,22.22222222222222,22.22222222222222,96.92400101483997,96.92400101483997,96.92400101483997,100.00000000000028,100.00000000000028,100.00000000000028,93.84800202968364,93.84800202968364,93.84800202968364,100.0,100.0,100.0,100.0,100.0,100.0,13.421838502107562,0.0,26.843677004217454,60.16949152542373,77.77777777777777,37.037751805310094,37.037751805310094
E2,fixed,2,10.205128205128204,13.14893531011051,4,4,,200.0,1024,286.916608,35.44295093756352,8.095167033507838,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,1,7,1,True,False,False,84.06121006341031,84.06121006341031,84.06121006341031,100.00000000000063,100.00000000000063,100.00000000000063,68.12242012682077,68.12242012682077,68.12242012682077,40.63876651982379,40.63876651982379,40.63876651982379,21.180555555555554,21.180555555555554,21.180555555555554,94.12838523720895,94.12838523720895,94.12838523720895,100.00000000000063,100.00000000000063,100.00000000000063,88.25677047441792,88.25677047441792,88.25677047441792,100.0,100.0,100.0,100.0,100.0,100.0,10.067175173798631,0.0,20.13435034759715,59.36123348017621,78.81944444444444,40.283472772956685,39.545729008655776
E2,fixed,3,10.205128205128204,13.14893531011051,4,4,,200.0,1024,286.916608,35.44295093756352,8.095167033507838,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,1,7,1,True,True,True,91.51969834733572,91.51969834733572,91.51969834733572,100.0000000000006,100.0000000000006,100.0000000000006,83.03939669467154,83.03939669467154,83.03939669467154,99.55947136563876,99.55947136563876,99.55947136563876,100.0,100.0,100.0,99.92602136974789,99.92602136974789,99.92602136974789,100.00000000000063,100.00000000000063,100.00000000000063,99.85204273949579,99.85204273949579,99.85204273949579,100.0,100.0,100.0,100.0,100.0,100.0,8.406323022412167,2.842170943040401e-14,16.81264604482425,0.4405286343612431,0.0,28.336545573012863,27.82556686796096
E3,fixed,2,8.425531914893616,23.33867064076124,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,24.0,512,33.882112,3.031044009747881,11.178363590576264,True,True,1,7,1,True,True,True,91.96992747924915,91.96992747924915,91.96992747924915,100.00000000000031,100.00000000000031,100.00000000000031,83.93985495849334,83.93985495849334,83.93985495849334,98.72448979591837,98.72448979591837,98.72448979591837,97.94520547945206,97.94520547945206,97.94520547945206,96.40288910471766,96.40288910471766,96.40288910471766,100.00000000000031,100.00000000000031,100.00000000000031,92.80577820942908,92.80577820942908,92.80577820942908,99.87244897959184,99.87244897959184,99.87244897959184,100.0,100.0,100.0,4.432961625468508,0.0,8.865923250935737,1.1479591836734642,2.0547945205479436,33.216398792538286,32.91910188853361
F20,fixed,1,10.490066225165563,12.028062319383693,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,20.0,1152,27.213824,5.881291263943399,4.62718521812388,True,True,1,7,1,True,True,True,84.08664366064713,84.08664366064713,84.08664366064713,100.00000000000028,100.00000000000028,100.00000000000028,68.1732873212942,68.1732873212942,68.1732873212942,99.05660377358491,99.05660377358491,99.05660377358491,100.0,100.0,100.0,99.40688360956955,99.40688360956955,99.40688360956955,100.00000000000027,100.00000000000027,100.00000000000027,98.8137672191391,98.8137672191391,98.8137672191391,100.0,100.0,100.0,100.0,100.0,100.0,15.32023994892242,-1.4210854715202004e-14,30.640479897844898,0.9433962264150892,0.0,34.6508186520572,34.6508186520572
