case,id,mode,ssu,seed,strategy,npu_id,A_count,B_count,warm_roles,warm_util_pct,warm_A_compute_ms,warm_B_compute_ms
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,0,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,1,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,2,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,3,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,4,0,210,B,71.27950165059738,0.0,1425.5900330119475
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,5,0,210,B,71.27929617567997,0.0,1425.5859235135995
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,6,0,210,B,71.36223695466246,0.0,1427.2447390932493
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,7,0,210,B,71.27659281568003,0.0,1425.5318563136007
C1_fixed_s2_seed7,C1,fixed,2,7,once,0,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,once,1,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,once,2,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,once,3,26,0,A,100.0,2000.0,0.0
C1_fixed_s2_seed7,C1,fixed,2,7,once,4,0,210,B,89.95662526179528,0.0,1799.1325052359057
C1_fixed_s2_seed7,C1,fixed,2,7,once,5,0,210,B,89.76125485400019,0.0,1795.2250970800037
C1_fixed_s2_seed7,C1,fixed,2,7,once,6,0,210,B,90.87803025431037,0.0,1817.5606050862075
C1_fixed_s2_seed7,C1,fixed,2,7,once,7,0,210,B,90.6666025261812,0.0,1813.3320505236238
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,0,49,0,A,100.0,2000.0,0.0
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,1,49,0,A,100.0,2000.0,0.0
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,2,49,0,A,100.0,2000.0,0.0
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,3,0,153,B,94.47862598248251,0.0,1889.5725196496503
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,4,0,153,B,94.48070354838151,0.0,1889.6140709676301
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,5,0,153,B,94.48210028438147,0.0,1889.6420056876295
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,6,0,153,B,94.4804782683815,0.0,1889.6095653676302
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,7,0,153,B,94.48246073238145,0.0,1889.6492146476292
C2_fixed_s3_seed7,C2,fixed,3,7,once,0,49,0,A,100.0,2000.0,0.0
C2_fixed_s3_seed7,C2,fixed,3,7,once,1,49,0,A,100.0,2000.0,0.0
C2_fixed_s3_seed7,C2,fixed,3,7,once,2,49,0,A,100.0,2000.0,0.0
C2_fixed_s3_seed7,C2,fixed,3,7,once,3,0,153,B,98.93963099308175,0.0,1978.792619861635
