case,id,mode,ssu,seed,strategy,start_ms,end_ms,fleet_pct,internal_stall_card_ms,layer0_stall_card_ms
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,500.0,4500.0,85.80593185520203,3992.6570548481113,549.444751487237
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,2000.0,4000.0,85.64970344957749,2042.1112712732465,253.93617679435647
C1_fixed_s2_seed7,C1,fixed,2,7,baseline,4000.0,4500.0,85.9212962448822,485.9178887728003,77.23026143191146
C1_fixed_s2_seed7,C1,fixed,2,7,once,500.0,4500.0,95.29687405266192,1328.9455360062188,176.0547671419663
C1_fixed_s2_seed7,C1,fixed,2,7,once,2000.0,4000.0,95.1578141120359,672.2763887219262,102.4733533523331
C1_fixed_s2_seed7,C1,fixed,2,7,once,4000.0,4500.0,95.34577358288703,151.15352365665058,35.015533027868514
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,500.0,4500.0,96.5539597177403,964.6570823633058,138.07580795979868
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,2000.0,4000.0,96.55054610200105,482.8382786380646,69.07434504176604
C2_fixed_s3_seed7,C2,fixed,3,7,baseline,4000.0,4500.0,96.60091199847268,118.657712320663,17.305807740429827
C2_fixed_s3_seed7,C2,fixed,3,7,once,500.0,4500.0,99.39948136757828,172.18902514822332,19.976937226727955
C2_fixed_s3_seed7,C2,fixed,3,7,once,2000.0,4000.0,99.4102872924803,87.6371363331441,6.716896870007986
C2_fixed_s3_seed7,C2,fixed,3,7,once,4000.0,4500.0,99.30167499352864,26.425740502078952,1.5072597567759658
C2_fixed_s4_seed7,C2,fixed,4,7,baseline,500.0,4500.0,99.36789361480153,176.64625331539156,25.62778994811856
C2_fixed_s4_seed7,C2,fixed,4,7,baseline,2000.0,4000.0,99.43242897020721,79.2131555260612,11.598209240784854
C2_fixed_s4_seed7,C2,fixed,4,7,baseline,4000.0,4500.0,99.42881930290955,20.407181035468966,2.44004684814945
C2_fixed_s4_seed7,C2,fixed,4,7,once,500.0,4500.0,99.99842213911799,0.5049154822402215,0.0
C2_fixed_s4_seed7,C2,fixed,4,7,once,2000.0,4000.0,100.0,0.0,0.0
C2_fixed_s4_seed7,C2,fixed,4,7,once,4000.0,4500.0,99.98879452667104,0.4482189331583868,0.0
D1_fixed_s1_seed7,D1,fixed,1,7,baseline,500.0,4500.0,93.83705371937589,1698.3942657761163,273.7485440235985
D1_fixed_s1_seed7,D1,fixed,1,7,baseline,2000.0,4000.0,93.83704717631996,849.1350281129685,136.93742367583764
