id,n_A,n_B,S,x,y,demand_GBs,rho,A_read_ms,single_A_block_ratio,ratio_condition_lhs,meets_ratio_condition,meets_single_A_block,strict_any_composition_underload,note,A_total_length_k,A_nql,A_V_MB,A_C_ms,A_B_GBs,B_total_length_k,B_nql,B_V_MB,B_C_ms,B_B_GBs
D1,6,2,1,3.9365079365079363,25.125335469308776,36.06747693884375,0.9016869234710937,4.4695552,1.2072920131200615,0.7468672977806106,True,True,False,"原始data；x<8,y>8；2张短卡",128.0,4096,178.782208,93.01732520235409,1.9220312733253628,32.0,512,45.416448,3.7021326666852694,12.267644649445785
D2,6,2,1,6.222222222222221,38.176856694330034,36.5318785042219,0.9132969626055475,7.064780799999999,1.9083002788026775,0.478591850952606,True,True,False,原始data；相对D1增大x与y，配比/盘数一致,200.0,4096,282.591232,141.33578827944143,1.999431534221722,32.0,512,45.416448,3.7021326666852694,12.267644649445785
E1,4,4,1,10.421052631578945,13.489894037702642,37.037751805310094,0.9259437951327524,7.136870399999999,1.3609682424665086,0.680356650684697,True,True,False,"20K计算外推；x>8,y>8；4:4单盘",200.0,2048,285.474816,70.74053784115809,4.035519444890419,20.0,1024,27.394048,5.243965419109055,5.223918506437105
E2,4,4,2,10.205128205128204,13.14893531011051,74.10197746345062,0.9262747182931328,3.5864576,1.3305353456016722,0.6961669386349663,True,True,False,"20K计算外推；x>8,y>8；4:4双盘",200.0,1024,286.916608,35.44295093756352,8.095167033507838,20.0,512,28.114944,2.6954996812791867,10.430327332354816
E3,4,4,2,8.425531914893616,23.33867064076124,60.855532141866725,0.7606941517733341,3.5684351999999997,1.177295739858564,0.6461368422727167,True,True,False,24K计算外推；x略大于8；4:4双盘,200.0,2048,285.474816,70.74053784115809,4.035519444890419,24.0,512,33.882112,3.031044009747881,11.178363590576263
Y1,2,6,1,13.724137931034482,5.22246231790655,34.67311455294483,0.8668278638236208,7.1729152,1.056917619741351,0.8201470461205396,True,True,False,"16K计算外推、B的NQL1536插值；x>8,y<8",200.0,1024,286.916608,35.44295093756352,8.095167033507838,16,1536,20.905984,6.786636031061112,3.0804634143215255
Y2,1,7,1,13.75862068965517,2.6220641698903684,37.72719905920548,0.9431799764801371,7.1909376,1.0595731916502489,0.8901508493350672,True,True,False,16K计算外推、B的NQL1536插值；y进一步下降,200.0,512,287.637504,17.794995171132317,16.163955158954803,16,1536,20.905984,6.786636031061112,3.0804634143215255
Y3,3,5,3,12.870967741935484,7.540394842614329,95.83974426911746,0.7986645355759788,2.3969791999999996,1.015688367640267,0.7863283276852955,True,True,False,"16K计算外推；x>8,y<8；三盘；单A界限接近1",200.0,512,287.637504,17.794995171132317,16.163955158954803,16,512,22.347776,2.3599553528104926,9.469575758450612
C1,4,4,2,6.512820512820513,8.667543127021338,73.0708388604885,0.9133854857561061,2.2888448,0.8491356225699115,1.0756650192012231,False,False,False,不满足单A阻塞的20K外推对照；仍可能累计FIFO等待,128.0,1024,183.107584,23.363359736359623,7.837382382767309,20.0,512,28.114944,2.6954996812791867,10.430327332354816
C2,3,5,3,4.0476190476190474,3.1752500469684772,108.25240457281535,0.902103371440128,1.5319040000000002,0.4137896012709888,2.1801015991442108,False,False,False,"原始data；x<8,y<8对照；单A阻塞不可能与欠载共存",128.0,512,183.82848,11.755196923775936,15.638060441862143,32.0,512,45.416448,3.7021326666852694,12.267644649445785
