group,id,strategy,scope,n,slo15_pct,p95_slo_multiple,max_slo_multiple
1,XY12_32,baseline,all,1248,100.0,1.0655018360186097,1.3815725972970176
1,XY12_32,baseline,A,96,100.0,1.0124445029772624,1.0185231694623345
1,XY12_32,baseline,B,1152,100.0,1.0729485421896616,1.3815725972970176
1,XY12_32,once,all,1248,100.0,1.0065444117388809,1.263425911202278
1,XY12_32,once,A,96,100.0,1.0149083170322963,1.0254962493458553
1,XY12_32,once,B,1152,100.0,1.0000000000000067,1.263425911202278
2,XY12_24,baseline,all,1560,100.0,1.1878943411652407,1.4753144839711727
2,XY12_24,baseline,A,120,100.0,1.013314388717326,1.0192498993713637
2,XY12_24,baseline,B,1440,100.0,1.1977379247153541,1.4753144839711727
2,XY12_24,once,all,1560,100.0,1.059186839094103,1.3776741866788134
2,XY12_24,once,A,120,100.0,1.0272721017588877,1.0397779202219224
2,XY12_24,once,B,1440,100.0,1.0702209474312725,1.3776741866788134
3,XY12_20,baseline,all,1560,99.1025641025641,1.3420603589672022,1.7697191512693828
3,XY12_20,baseline,A,120,100.0,1.0196374550606877,1.0283202737003427
3,XY12_20,baseline,B,1440,99.02777777777779,1.3524883329759168,1.7697191512693828
3,XY12_20,once,all,1560,100.0,1.0839323349272858,1.4522525021182333
3,XY12_20,once,A,120,100.0,1.035498932258181,1.0752877522031452
3,XY12_20,once,B,1440,100.0,1.0894942512368473,1.4522525021182333
4,XY12_16,baseline,all,1872,93.42948717948718,1.5285750254781951,2.3744682889750055
4,XY12_16,baseline,A,144,100.0,1.029481769015951,1.0503157699461514
4,XY12_16,baseline,B,1728,92.88194444444444,1.557523420289472,2.3744682889750055
4,XY12_16,once,all,1872,99.67948717948718,1.125541658967541,1.6286923357511967
4,XY12_16,once,A,144,100.0,1.0622628746760667,1.1024712774331251
4,XY12_16,once,B,1728,99.65277777777779,1.1287253371517691,1.6286923357511967
5,X16,baseline,all,1872,95.88675213675214,1.465051904128956,1.9781450252624977
5,X16,baseline,A,144,100.0,1.019241115951185,1.0318521142172197
5,X16,baseline,B,1728,95.54398148148148,1.4707891023318753,1.9781450252624977
5,X16,once,all,1872,99.73290598290599,1.1096260813498204,1.5294423781565705
5,X16,once,A,144,100.0,1.0531214712450423,1.0736947138099702
5,X16,once,B,1728,99.71064814814815,1.1194211135482661,1.5294423781565705
