total_K,miss,hit_tokens,category,layer_read_MiB,layer_compute_ms,required_bandwidth_GiB_s,count_per_npu
32,256,32512,SS,43.65625,1.9974796959734433,21.343424279388426,1
32,1024,31744,SL,42.62500000000001,7.257231579079756,5.735792789428712,1
32,2048,30720,SL,41.25000000000001,14.369102622125,2.8034599086914067,3
32,4096,28672,SL,38.5,28.592841995880782,1.3149324665039066,2
64,256,65280,SS,87.65625,3.3396570206571456,25.63191552639771,1
64,1024,64512,SL,86.625,12.625940760424301,6.700073140502931,1
64,2048,63488,SL,85.25,25.106517917176127,3.3159498023437504,3
64,4096,61440,SL,82.5,50.06766996068876,1.609150302246094,2
80,256,81664,SS,109.65625000000001,4.010745621755773,26.699818871521,1
80,1024,80896,SL,108.62500000000001,15.310296145067996,6.928611997924805,1
80,2048,79872,SL,107.25,30.475232543852318,3.436768791650391,3
80,4096,77824,SL,104.5,60.80510334800196,1.6783259238281252,2
128,256,130816,LS,175.65625,6.024011548589168,28.475925926934814,1
128,1024,130048,LL,174.625,23.363359736359623,7.299131138964844,1
128,2048,129024,LL,173.25,46.58135868432481,3.632127913476562,3
128,4096,126976,LL,170.5,93.01732520235409,1.7900311139648437,2
160,256,163584,LS,219.65625,7.366188833782921,29.120629606567384,1
160,1024,162816,LL,218.62500000000003,28.732067426025328,7.430755796191407,1
160,2048,161792,LL,217.25000000000003,57.31877271428324,3.7013737921875007,3
160,4096,159744,LL,214.5,114.4921718038388,1.8295805988281253,2
200,256,204544,LS,274.65625,9.043910535256627,29.65741347119751,1
200,1024,203776,LL,273.62500000000006,35.44295093756352,7.539211803588867,1
200,2048,202752,LL,272.25000000000006,70.74053784115809,3.7583703593261726,3
200,4096,200704,LL,269.5,141.33578827944143,1.8621157242187503,2
