policy,seed,category,count,SLO1_5_percent,active_U_percent
Baseline Random,7,LL,76,100.0,99.9032123342104
Baseline Random,7,LS,11,63.63636363636363,72.32544147996799
Baseline Random,7,SL,77,100.0,99.69665737646594
Baseline Random,7,SS,8,50.0,57.215359514459095
Baseline Random,19,LL,78,100.0,99.961105973121
Baseline Random,19,LS,8,100.0,89.86821341456077
Baseline Random,19,SL,73,100.0,99.98437770541183
Baseline Random,19,SS,12,75.0,75.80990483199878
Baseline Random,43,LL,84,100.0,99.7993341318592
Baseline Random,43,LS,14,78.57142857142857,76.76058331714037
Baseline Random,43,SL,50,100.0,99.41681355761338
Baseline Random,43,SS,12,58.333333333333336,51.883011460139905
流量分配 Random,7,LL,76,100.0,99.77601390988879
流量分配 Random,7,LS,11,100.0,99.87764236259848
流量分配 Random,7,SL,80,100.0,99.98218858619838
流量分配 Random,7,SS,8,100.0,100.0
流量分配 Random,19,LL,79,100.0,99.40171640640284
流量分配 Random,19,LS,10,100.0,97.24557642447027
流量分配 Random,19,SL,76,100.0,99.9876743294012
流量分配 Random,19,SS,12,100.0,99.945092128376
流量分配 Random,43,LL,81,100.0,98.52769318350754
流量分配 Random,43,LS,13,100.0,99.78041281894461
流量分配 Random,43,SL,51,100.0,99.97357823741983
流量分配 Random,43,SS,12,100.0,97.87473157020507
