policy,seed,window,NPU_utilization_percent,SLO1_percent,SLO1_5_percent,requests,TTFT_mean_ms,TTFT_p99_ms,ratio_max,completed_after_window,any_disk_over40_percent,SSU0_mean_demand_GiB_s,SSU0_over40_percent,SSU0_max_demand_GiB_s,SSU0_mean_supply_GiB_s,SSU1_mean_demand_GiB_s,SSU1_over40_percent,SSU1_max_demand_GiB_s,SSU1_mean_supply_GiB_s,SSU2_mean_demand_GiB_s,SSU2_over40_percent,SSU2_max_demand_GiB_s,SSU2_mean_supply_GiB_s
Baseline Random,7,warm_2_4s,99.21996709631803,77.90697674418605,95.34883720930233,172,376.586121284237,1134.9978455991043,3.2413401950332696,32,19.833093509531125,34.53977424106887,19.833093509531125,54.129114128182955,33.00770542403403,34.53343078849117,19.833093509531125,54.12930502585142,33.002418253623865,34.53298932807373,19.833093509531125,54.06488392952268,33.0019147135848
Baseline Random,7,warm_2_6s,99.18911535404678,74.57627118644068,95.19774011299435,354,356.7565268927106,1130.6863062355333,3.252290737920728,32,24.802551941161,35.990709215755786,24.802551941161,59.830434264413334,34.125487605474426,35.98604407851491,24.802551941161,59.88960428579398,34.12137636182208,35.98836300738559,24.697153118136583,59.911041561639294,34.12318171362872
Baseline Random,7,full_population,96.87572373222879,70.68452380952381,94.19642857142857,1344,360.87795605609756,1130.6863062355333,10.731799559946861,0,31.373407497794403,36.98794860525197,31.312573524086257,100.2912282390012,,36.989741259162074,31.373407497794403,100.30184737544829,,36.9869239425787,31.346031951193627,100.24562157865886,
Baseline Random,19,warm_2_4s,99.72857463097935,82.45614035087719,98.24561403508771,171,360.3936605432258,1130.6863062355333,1.766966718709326,32,19.766712011400795,35.53113140968366,19.766712011400795,47.6867740361114,34.79171741250595,35.53613608549525,19.766712011400795,47.667661799395724,34.798179509673915,35.52881584603692,19.766712011400795,47.680457723318426,34.789703252349696
Baseline Random,19,warm_2_6s,99.59378423427466,80.35714285714286,97.32142857142857,336,374.82597071805236,1130.6863062355333,2.845504317482003,32,19.652738076731303,34.46938758952839,19.652738076731303,58.57013941884145,33.34605559377623,34.47253513259732,19.652738076731303,58.559141386944496,33.350193340184994,34.46738144506378,19.652738076731303,58.57388256690658,33.34496459035825
Baseline Random,19,full_population,96.97900250031346,70.61011904761905,93.22916666666666,1344,361.3811462969276,1130.6863062355333,11.91482607401552,0,28.155851471829152,37.29851813527454,28.155851471829152,98.0455132543394,,37.3001099772152,28.155851471829152,98.05497716348854,,37.298051589842494,28.155851471829152,98.0219067438169,
Baseline Random,43,warm_2_4s,98.80054368053253,68.125,95.0,160,393.2476543213788,1130.6863062355333,4.024466084467165,32,35.49679763200863,38.16907277060582,35.49679763200863,74.09399013356312,35.61176946903575,38.18401825517074,35.49679763200863,74.14566366404102,35.62393835331309,38.17550535137559,35.49679763200863,74.09554934982596,35.61823156620371
Baseline Random,43,warm_2_6s,99.06281890079515,74.43181818181817,95.73863636363636,352,369.1404525458615,1130.6863062355333,4.024466084467165,32,32.673123914713294,37.59425187679118,32.673123914713294,74.09399013356312,35.52520955596183,37.602206333965086,32.673123914713294,74.14566366404102,35.53192342314933,37.597294064384734,32.673123914713294,74.09554934982596,35.5282307961962
Baseline Random,43,full_population,97.63708340159627,72.32142857142857,93.75,1344,360.53735966575744,1130.6863062355333,9.141867760169841,0,29.797768444925836,37.34468022152543,29.733421915261165,80.76094976848741,,37.34661513852189,29.797768444925836,80.7750501349364,,37.34296041872636,29.797768444925836,80.76078187091662,
流量分配 Random,7,warm_2_4s,99.83958609585738,90.85714285714286,100.0,175,363.030054250938,1130.6863062355333,1.1133724715861049,32,6.608767921516642,33.001880421071995,6.608767921516642,47.578318108575395,33.08754319345515,32.99701862135103,6.608767921516642,47.58660133818964,33.08301133310358,32.995638763311895,6.608767921516642,47.59922361058953,33.081165019627
流量分配 Random,7,warm_2_6s,99.68009201182912,87.3972602739726,100.0,365,351.9961514026443,1130.6863062355333,1.1587771719874298,32,18.461440158668154,34.71755612897926,18.461440158668154,54.991797691955455,34.63780834089651,34.71393265809253,18.461440158668154,54.97641429632248,34.634031790603544,34.71515970165993,18.461440158668154,54.99181344037159,34.63566829573049
流量分配 Random,7,full_population,97.45556286380972,80.58035714285714,98.88392857142857,1344,359.8816142547666,1132.969512268643,2.706220373788538,0,20.995591580051634,34.837749183732655,20.995591580051634,74.4432137384308,,34.83926193138398,20.995591580051634,74.41897224428101,,34.836991163715204,20.995591580051634,74.3472686922821,
流量分配 Random,19,warm_2_4s,99.55149574347388,86.4406779661017,100.0,177,357.472055895633,1130.6863062355333,1.401391981185808,32,20.58253616524928,35.42203229154921,20.58253616524928,57.67893607436818,35.008073029468136,35.426876647780304,20.58253616524928,57.67572045569452,35.0131923531986,35.421616445762815,20.58253616524928,57.699951795657256,35.006226715991566
流量分配 Random,19,warm_2_6s,99.63583844601096,87.46268656716418,100.0,335,373.43575999489354,1130.6863062355333,1.401391981185808,32,14.630372575588682,33.68979275066844,14.630372575588682,57.67893607436818,33.40189878013415,33.693634850282905,14.57526810920541,57.67572045569452,33.40592710044664,33.688878906542556,14.630372575588682,57.699951795657256,33.40118543174547
流量分配 Random,19,full_population,97.16346810903208,81.54761904761905,98.88392857142857,1344,360.62904615910736,1131.940347942554,3.187017685746767,0,22.23939927379556,34.897062089432794,22.234066929632412,89.17515810485219,,34.89868952285114,22.225044317081938,89.10516189901416,,34.897008253907806,22.118554806630364,89.1792489055205,
