request_id,npu_id,generation,input_order_1based,role,qos_category,total_tokens,total_length_k,nql_tokens,hit_prefix_tokens,per_layer_read_gib,per_layer_read_mib,per_layer_compute_ms,bandwidth_demand_gib_s,n_layers,ideal_compute_8layers_ms,total_read_8layers_gib,placement,ssu_count,constructed_profile,compute_method,compute_extrapolated,compute_source,compute_scale,padding_gib_per_layer,construction_anchors_json
0,0,0,1,S,SL,20501,20.0205078125,1045,19456,0.0255126953125,26.125,5.352037890879971,4.766912311285086,8,42.81630312703977,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.712855875492096},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.03586238622665405},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.733363687992096},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.015354573726654053}]"
1,0,1,2,S,SL,20523,20.0419921875,1067,19456,0.0255126953125,26.125,5.4654080307074855,4.668031219106881,8,43.723264245659884,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.6739993691444397},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.0733761191368103},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7159915566444397},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.0313839316368103}]"
2,0,2,3,S,SL,20499,20.0185546875,1043,19456,0.0255126953125,26.125,5.3417391945257755,4.776102760435301,8,42.733913556206204,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.716391146183014},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.032449185848236084},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7349458336830139},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.013894498348236084}]"
3,0,3,4,S,SL,20542,20.060546875,1086,19456,0.0255126953125,26.125,5.563443245911806,4.585774345994729,8,44.50754596729445,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.6404879093170166},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.1057279109954834},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7010347843170166},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.0451810359954834}]"
4,0,4,5,S,SL,20533,20.0517578125,1077,19456,0.0255126953125,26.125,5.516991112405669,4.624385791583278,8,44.13592889924535,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.656356394290924},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.09040874242782593},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7081142067909241},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.03865092992782593}]"
5,0,5,6,S,SL,20485,20.0048828125,1029,19456,0.0255126953125,26.125,5.269684160017292,4.841408808913566,8,42.15747328013833,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.7411513924598694},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.008543431758880615},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7460342049598694},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.0036606192588806152}]"
6,0,6,7,L,LL,204796,199.99609375,1660,203136,0.2663726806640625,272.765625,57.36499915581842,4.643470488695106,8,458.91999324654734,2.1309814453125,ring_hash,1,True,bilinear_interpolation_length_nql,False,data,1.0,0.0,"[{""compute_us"":34100.781654707,""nql"":1024,""seq_len_k"":192,""weight"":0.0001850128173828125},{""compute_us"":68056.18615283375,""nql"":2048,""seq_len_k"":192,""weight"":0.0003032684326171875},{""compute_us"":35442.950937563524,""nql"":1024,""seq_len_k"":200,""weight"":0.3787212371826172},{""compute_us"":70740.53784115809,""nql"":2048,""seq_len_k"":200,""weight"":0.6207904815673828}]"
7,0,7,8,S,SL,20489,20.0087890625,1033,19456,0.0255126953125,26.125,5.290264912739201,4.822574244073158,8,42.32211930191361,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.7340746521949768},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.015376031398773193},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7428637146949768},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.006586968898773193}]"
8,0,8,9,S,SL,20551,20.0693359375,1095,19456,0.0255126953125,26.125,5.609921299396883,4.547781323642249,8,44.879370395175066,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.6246290802955627},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.12103742361068726},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.6939650177955627},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.051701486110687256}]"
9,0,9,10,L,LL,204791,199.9912109375,1655,203136,0.2663726806640625,272.765625,57.19132686023129,4.657571266269888,8,457.53061488185034,2.1309814453125,ring_hash,1,True,bilinear_interpolation_length_nql,False,data,1.0,0.0,"[{""compute_us"":34100.781654707,""nql"":1024,""seq_len_k"":192,""weight"":0.0004216432571411133},{""compute_us"":68056.18615283375,""nql"":2048,""seq_len_k"":192,""weight"":0.0006769895553588867},{""compute_us"":35442.950937563524,""nql"":1024,""seq_len_k"":200,""weight"":0.3833674192428589},{""compute_us"":70740.53784115809,""nql"":2048,""seq_len_k"":200,""weight"":0.6155339479446411}]"
10,0,10,11,S,SL,20553,20.0712890625,1097,19456,0.0255126953125,26.125,5.620253275724043,4.539420923021172,8,44.96202620579234,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.621106207370758},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.12443822622299194},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.6923952698707581},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.05314916372299194}]"
11,0,11,12,S,SL,20520,20.0390625,1064,19456,0.0255126953125,26.125,5.449939346192961,4.681280596328437,8,43.59951476954369,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.6792945861816406},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.06826400756835938},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7183570861816406},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.029201507568359375}]"
12,0,12,13,S,SL,20561,20.0791015625,1105,19456,0.0255126953125,26.125,5.661593981022275,4.506274275057313,8,45.2927518481782,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.6070194840431213},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.13803666830062866},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.6861210465431213},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.05893510580062866}]"
13,0,13,14,S,SL,20524,20.04296875,1068,19456,0.0255126953125,26.125,5.470564898878473,4.663630865201944,8,43.76451919102779,0.2041015625,ring_hash,1,True,bilinear_length_extrapolation_nql_interpolation,True,data,1.0,0.0,"[{""compute_us"":7257.231579079756,""nql"":1024,""seq_len_k"":32,""weight"":1.6722345352172852},{""compute_us"":14369.102622125,""nql"":2048,""seq_len_k"":32,""weight"":0.07507991790771484},{""compute_us"":9941.586459040689,""nql"":1024,""seq_len_k"":48,""weight"":-0.7152032852172852},{""compute_us"":19737.809881246598,""nql"":2048,""seq_len_k"":48,""weight"":-0.032111167907714844}]"
