policy,cohort,role,request_count,passed_count,pass_rate
fifo,window_admissions,all,168,165,0.9821428571428571
fifo,window_admissions,L,18,18,1.0
fifo,window_admissions,S,150,147,0.98
fifo,all_requests,all,576,550,0.9548611111111112
fifo,all_requests,L,48,48,1.0
fifo,all_requests,S,528,502,0.9507575757575758
once,window_admissions,all,170,170,1.0
once,window_admissions,L,21,21,1.0
once,window_admissions,S,149,149,1.0
once,all_requests,all,576,576,1.0
once,all_requests,L,48,48,1.0
once,all_requests,S,528,528,1.0
short_first,window_admissions,all,167,167,1.0
short_first,window_admissions,L,20,20,1.0
short_first,window_admissions,S,147,147,1.0
short_first,all_requests,all,576,576,1.0
short_first,all_requests,L,48,48,1.0
short_first,all_requests,S,528,528,1.0
