scenario,strategy,U_warm_percent,SLO_warm_seedmean_percent,SLO_cdf_percent,cdf_cohort,seeds,num_npu,num_ssu,capacity
full,asu_baseline,62.384978288533524,40.29543087150066,40.29543087150066,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
full,od_baseline,62.52740597798449,38.9136502476733,38.9136502476733,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
full,once,64.44074650169944,76.13026819923373,76.13026819923373,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
semi,asu_baseline,99.24275567281495,96.27054975026563,96.27054975026563,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
semi,od_baseline,98.88434305853097,95.18043034609299,95.18043034609299,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
semi,once,99.28367991649814,99.80952380952381,99.80952380952381,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
near35,asu_baseline,99.2496951359433,96.19815041479667,96.19815041479667,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
near35,od_baseline,99.26806020342553,97.0446687225493,97.0446687225493,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
near35,once,99.40120592040962,100.0,100.0,"warm admissions [2,4)s","7,19,43",32,3,40 GiB/s
ab128_random,asu_baseline,90.67794278895745,77.41935483870968,77.41935483870968,"warm admissions [2,4)s",7,32,3,40 GiB/s
ab128_random,od_baseline,88.94129419619597,77.61194029850746,77.61194029850746,"warm admissions [2,4)s",7,32,3,40 GiB/s
ab128_random,once,91.24281038613933,79.59183673469387,79.59183673469387,"warm admissions [2,4)s",7,32,3,40 GiB/s
ab128_ordered,asu_baseline,71.00894540378987,71.42857142857143,71.42857142857143,"warm admissions [2,4)s",7,32,3,40 GiB/s
ab128_ordered,od_baseline,71.14204767642963,70.79646017699115,70.79646017699115,"warm admissions [2,4)s",7,32,3,40 GiB/s
ab128_ordered,once,83.41703512991607,74.60815047021944,74.60815047021944,"warm admissions [2,4)s",7,32,3,40 GiB/s
sensitivity20k_076,asu_baseline,94.61473519238639,98.4375,98.72448979591837,all input requests,7,8,1,40 GiB/s
sensitivity20k_076,od_baseline,98.57985774851211,100.0,100.0,all input requests,7,8,1,40 GiB/s
sensitivity20k_076,once,99.25667980495008,100.0,100.0,all input requests,7,8,1,40 GiB/s
XY12_32,asu_baseline,99.74081728469442,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_32,od_baseline,99.77578628346778,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_32,once,99.84527921419148,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_24,asu_baseline,98.27991793108485,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_24,od_baseline,99.26175464704743,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_24,once,99.12906510206834,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_20,asu_baseline,95.02517191117067,98.57142857142857,99.1025641025641,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_20,od_baseline,98.72076609013631,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_20,once,98.6166264971442,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_16,asu_baseline,90.82923258259471,94.86526168111845,93.42948717948718,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_16,od_baseline,98.05039561756094,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
XY12_16,once,97.68899918773782,100.0,99.67948717948718,all input requests,"7,19,43",8,1,40 GB/s (decimal)
X16,asu_baseline,92.55579185371003,95.13355071366122,95.88675213675214,all input requests,"7,19,43",8,1,40 GB/s (decimal)
X16,od_baseline,98.77070897273234,100.0,100.0,all input requests,"7,19,43",8,1,40 GB/s (decimal)
X16,once,98.32526642731848,100.0,99.73290598290598,all input requests,"7,19,43",8,1,40 GB/s (decimal)
