scenario,policy,seed,request_id,npu_id,profile,category,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,equal_seed_weight
full,baseline,19,9,0,L128_M256,LS,2196.2616466436552,2439.4123019538624,243.15065531020718,48.19209238871334,5.045447152387046,False,False,0.001692047377326565
full,baseline,19,10,0,L32_M256,SS,2439.4123019538624,2673.4193173668723,234.00701541300987,15.979837567787547,14.643891993290692,False,False,0.001692047377326565
full,baseline,19,11,0,L64_M1024,SL,2673.4193173668723,2953.6582215465573,280.23890417968505,101.00752608339441,2.7744358766723245,False,False,0.001692047377326565
full,baseline,19,12,0,L160_M1024,LL,2953.6582215465573,3231.3729192646488,277.71469771809143,229.85653940820262,1.2082088176960561,True,False,0.001692047377326565
full,baseline,19,13,0,L200_M1024,LL,3231.3729192646488,3530.454037265689,299.08111800104007,283.5436075005082,1.0547976046347793,True,False,0.001692047377326565
full,baseline,19,14,0,L128_M2048,LL,3530.454037265689,3911.6914968183473,381.2374595526585,372.6508694745985,1.0230419161242432,True,False,0.001692047377326565
full,baseline,19,15,0,L200_M256,LS,3911.6914968183473,4151.458842786234,239.76734596788629,72.35128428205302,3.313933516828552,False,True,0.001692047377326565
full,baseline,19,1000006,1,L64_M2048,SL,2868.7151248583523,3133.502079953309,264.78695509495674,200.85214333740902,1.3183177968389634,True,False,0.001692047377326565
full,baseline,19,1000007,1,L160_M2048,LL,3133.502079953309,3595.1070596683667,461.60497971505765,458.55018171426593,1.0066618619348737,True,False,0.001692047377326565
full,baseline,19,1000008,1,L160_M256,LS,3595.1070596683667,3854.9786698152284,259.8716101468617,58.92951067026337,4.409872187823824,False,False,0.001692047377326565
full,baseline,19,1000009,1,L128_M256,LS,3854.9786698152284,4121.533960279058,266.5552904638298,48.19209238871334,5.531100171244224,False,True,0.001692047377326565
full,baseline,19,2000008,2,L160_M1024,LL,2245.138209492219,2509.9012721379395,264.7630626457203,229.85653940820262,1.1518622151337932,True,False,0.001692047377326565
full,baseline,19,2000009,2,L64_M2048,SL,2509.9012721379395,2751.782643307801,241.88137116986172,200.85214333740902,1.2042757779464082,True,False,0.001692047377326565
full,baseline,19,2000010,2,L160_M1024,LL,2751.782643307801,3049.0475665959475,297.2649232881463,229.85653940820262,1.293262850182535,True,False,0.001692047377326565
full,baseline,19,2000011,2,L64_M4096,SL,3049.0475665959475,3454.6217361747686,405.57416957882106,400.5413596855101,1.0125650192461086,True,False,0.001692047377326565
full,baseline,19,2000012,2,L64_M1024,SL,3454.6217361747686,3724.429377039721,269.80764086495265,101.00752608339441,2.6711637372663946,False,False,0.001692047377326565
full,baseline,19,2000013,2,L64_M256,SS,3724.429377039721,3985.4845087052277,261.05513166550645,26.717256165257165,9.771030754459725,False,False,0.001692047377326565
full,baseline,19,2000014,2,L64_M256,SS,3985.4845087052277,4209.932445716946,224.4479370117183,26.717256165257165,8.400860313776832,False,True,0.001692047377326565
full,baseline,19,3000008,3,L160_M1024,LL,2227.3231899676093,2479.4706691105957,252.1474791429864,229.85653940820262,1.0969776182664843,True,False,0.001692047377326565
full,baseline,19,3000009,3,L200_M1024,LL,2479.4706691105957,2773.468428506114,293.9977593955182,283.5436075005082,1.0368696440987168,True,False,0.001692047377326565
full,baseline,19,3000010,3,L32_M4096,SL,2773.468428506114,3041.0287787878733,267.5603502817594,228.74273596704626,1.1696998776840082,True,False,0.001692047377326565
full,baseline,19,3000011,3,L64_M256,SS,3041.0287787878733,3228.4801378800325,187.45135909215924,26.717256165257165,7.016115649477471,False,False,0.001692047377326565
full,baseline,19,3000012,3,L128_M2048,LL,3228.4801378800325,3624.4705800703005,395.9904421902679,372.6508694745985,1.0626312042383692,True,False,0.001692047377326565
full,baseline,19,3000013,3,L160_M1024,LL,3624.4705800703005,3905.3165637883303,280.84598371802986,229.85653940820262,1.2218316017508424,True,False,0.001692047377326565
full,baseline,19,3000014,3,L160_M4096,LL,3905.3165637883303,4827.089055241256,921.7724914529254,915.9373744307104,1.0063706506417447,True,True,0.001692047377326565
full,baseline,19,4000007,4,L32_M2048,SL,2017.125615174954,2237.590790756891,220.46517558193682,114.952820977,1.9178752962143308,False,False,0.001692047377326565
full,baseline,19,4000008,4,L64_M1024,SL,2237.590790756891,2474.2653450572993,236.67455430040854,101.00752608339441,2.3431378183146863,False,False,0.001692047377326565
full,baseline,19,4000009,4,L160_M4096,LL,2474.2653450572993,3414.9939997969195,940.7286547396202,915.9373744307104,1.0270665669957169,True,False,0.001692047377326565
full,baseline,19,4000010,4,L32_M1024,SL,3414.9939997969195,3665.8709942988066,250.8769945018871,58.057852632638046,4.321155246462785,False,False,0.001692047377326565
full,baseline,19,4000011,4,L80_M256,SS,3665.8709942988066,3946.3029209147244,280.43192661591775,32.085964974046185,8.74001847358353,False,False,0.001692047377326565
full,baseline,19,4000012,4,L160_M256,LS,3946.3029209147244,4201.8194664216735,255.51654550694911,58.92951067026337,4.335969238514078,False,True,0.001692047377326565
full,baseline,19,5000008,5,L32_M256,SS,2728.097508610397,2977.33846104363,249.2409524332329,15.979837567787547,15.597214388189867,False,False,0.001692047377326565
full,baseline,19,5000009,5,L64_M1024,SL,2977.33846104363,3206.624987903979,229.2865268603491,101.00752608339441,2.2699944821046727,False,False,0.001692047377326565
full,baseline,19,5000010,5,L128_M256,LS,3206.624987903979,3455.3908718024954,248.76588389851622,48.19209238871334,5.161964786504633,False,False,0.001692047377326565
full,baseline,19,5000011,5,L160_M256,LS,3455.3908718024954,3756.492952041791,301.10208023929545,58.92951067026337,5.109529619617827,False,False,0.001692047377326565
full,baseline,19,5000012,5,L200_M1024,LL,3756.492952041791,4078.216593901558,321.7236418597672,283.5436075005082,1.1346531304155414,True,True,0.001692047377326565
full,baseline,19,6000009,6,L200_M1024,LL,2212.0783586398325,2498.0397859917202,285.9614273518878,283.5436075005082,1.008527153451609,True,False,0.001692047377326565
full,baseline,19,6000010,6,L160_M256,LS,2498.0397859917202,2729.59941261308,231.5596266213597,58.92951067026337,3.929434064318607,False,False,0.001692047377326565
full,baseline,19,6000011,6,L80_M2048,SL,2729.59941261308,3035.751669213774,306.1522566006943,243.80186035081854,1.2557420856434676,True,False,0.001692047377326565
full,baseline,19,6000012,6,L32_M1024,SL,3035.751669213774,3216.2760388544707,180.52436964069648,58.057852632638046,3.1093876444753685,False,False,0.001692047377326565
full,baseline,19,6000013,6,L200_M256,LS,3216.2760388544707,3496.5958904180693,280.3198515635986,72.35128428205302,3.874428136904999,False,False,0.001692047377326565
full,baseline,19,6000014,6,L32_M2048,SL,3496.5958904180693,3771.817704209039,275.2218137909699,114.952820977,2.394215395949586,False,False,0.001692047377326565
full,baseline,19,6000015,6,L80_M256,SS,3771.817704209039,4023.23544654949,251.4177423404508,32.085964974046185,7.835754434807197,False,True,0.001692047377326565
full,baseline,19,7000005,7,L80_M1024,SL,2125.092693766287,2374.757088747607,249.66439498132013,122.48236916054397,2.038370066585437,False,False,0.001692047377326565
full,baseline,19,7000006,7,L64_M4096,SL,2374.757088747607,2793.6892478691043,418.9321591214971,400.5413596855101,1.0459148574579833,True,False,0.001692047377326565
full,baseline,19,7000007,7,L64_M256,SS,2793.6892478691043,3046.267360878079,252.57811300897492,26.717256165257165,9.453744480596207,False,False,0.001692047377326565
full,baseline,19,7000008,7,L160_M2048,LL,3046.267360878079,3534.0142251957104,487.7468643176312,458.55018171426593,1.0636717283465356,True,False,0.001692047377326565
full,baseline,19,7000009,7,L128_M256,LS,3534.0142251957104,3785.953997412847,251.93977221713658,48.19209238871334,5.2278238966055195,False,False,0.001692047377326565
full,baseline,19,7000010,7,L160_M256,LS,3785.953997412847,4062.6049125886657,276.6509151758187,58.92951067026337,4.69460737123379,False,True,0.001692047377326565
full,baseline,19,8000005,8,L160_M1024,LL,2408.5019314226874,2668.6724818547364,260.1705504320489,229.85653940820262,1.131882308425481,True,False,0.001692047377326565
full,baseline,19,8000006,8,L128_M256,LS,2668.6724818547364,2924.7771633064017,256.10468145166533,48.19209238871334,5.314246980312592,False,False,0.001692047377326565
full,baseline,19,8000007,8,L80_M1024,SL,2924.7771633064017,3174.9578418237793,250.1806785173776,122.48236916054397,2.042585232732173,False,False,0.001692047377326565
full,baseline,19,8000008,8,L80_M1024,SL,3174.9578418237793,3404.5318164331543,229.573974609375,122.48236916054397,1.8743430273500061,False,False,0.001692047377326565
full,baseline,19,8000009,8,L64_M1024,SL,3404.5318164331543,3692.340548817065,287.80873238391086,101.00752608339441,2.849379086329553,False,False,0.001692047377326565
full,baseline,19,8000010,8,L160_M256,LS,3692.340548817065,3974.187477896283,281.8469290792177,58.92951067026337,4.782780747260498,False,False,0.001692047377326565
full,baseline,19,8000011,8,L32_M256,SS,3974.187477896283,4196.223325032887,222.0358471366044,15.979837567787547,13.894749943152638,False,True,0.001692047377326565
full,baseline,19,9000008,9,L80_M1024,SL,2156.986135604177,2410.353173342334,253.3670377381568,122.48236916054397,2.068600072603556,False,False,0.001692047377326565
full,baseline,19,9000009,9,L128_M256,LS,2410.353173342334,2657.827090064214,247.4739167218804,48.19209238871334,5.135156090044332,False,False,0.001692047377326565
full,baseline,19,9000010,9,L128_M1024,LL,2657.827090064214,2954.488490253938,296.66140018972374,186.90687789087698,1.587214999990131,False,False,0.001692047377326565
full,baseline,19,9000011,9,L128_M4096,LL,2954.488490253938,3709.86532515399,755.376834900052,744.1386016188327,1.0151023388072749,True,False,0.001692047377326565
full,baseline,19,9000012,9,L200_M1024,LL,3709.86532515399,4005.105884287173,295.24055913318307,283.5436075005082,1.0412527432227647,True,True,0.001692047377326565
full,baseline,19,10000007,10,L80_M256,SS,2097.928575210736,2308.628841837576,210.70026662683995,32.085964974046185,6.56674239959035,False,False,0.001692047377326565
full,baseline,19,10000008,10,L200_M256,LS,2308.628841837576,2584.7149920782254,276.0861502406492,72.35128428205302,3.8159122257506812,False,False,0.001692047377326565
full,baseline,19,10000009,10,L64_M256,SS,2584.7149920782254,2832.8487291886263,248.13373711040094,26.717256165257165,9.28739596519913,False,False,0.001692047377326565
full,baseline,19,10000010,10,L32_M1024,SL,2832.8487291886263,3102.093299596658,269.2445704080319,58.057852632638046,4.637522026721881,False,False,0.001692047377326565
full,baseline,19,10000011,10,L128_M1024,LL,3102.093299596658,3335.379603535188,233.28630393852973,186.90687789087698,1.24814189060892,True,False,0.001692047377326565
full,baseline,19,10000012,10,L80_M1024,SL,3335.379603535188,3611.7032947046387,276.32369116945074,122.48236916054397,2.2560283007528947,False,False,0.001692047377326565
full,baseline,19,10000013,10,L160_M1024,LL,3611.7032947046387,3914.9291431340334,303.2258484293948,229.85653940820262,1.3191960916582646,True,False,0.001692047377326565
full,baseline,19,10000014,10,L32_M4096,SL,3914.9291431340334,4164.658973587678,249.72983045364435,228.74273596704626,1.0917497746884588,True,True,0.001692047377326565
full,baseline,19,11000007,11,L64_M1024,SL,2125.576037207769,2358.8598427379634,233.2838055301945,101.00752608339441,2.3095685497493466,False,False,0.001692047377326565
full,baseline,19,11000008,11,L80_M1024,SL,2358.8598427379634,2609.5259180933103,250.66607535534695,122.48236916054397,2.046548226273987,False,False,0.001692047377326565
full,baseline,19,11000009,11,L32_M256,SS,2609.5259180933103,2851.6724911949973,242.14657310168695,15.979837567787547,15.153256225195337,False,False,0.001692047377326565
full,baseline,19,11000010,11,L200_M1024,LL,2851.6724911949973,3175.6140668361923,323.94157564119496,283.5436075005082,1.1424753268000034,True,False,0.001692047377326565
full,baseline,19,11000011,11,L200_M256,LS,3175.6140668361923,3404.843342200296,229.22927536410361,72.35128428205302,3.168282051089516,False,False,0.001692047377326565
full,baseline,19,11000012,11,L200_M256,LS,3404.843342200296,3702.4699138555693,297.62657165527344,72.35128428205302,4.113632185090331,False,False,0.001692047377326565
full,baseline,19,11000013,11,L160_M1024,LL,3702.4699138555693,4010.426250775635,307.9563369200655,229.85653940820262,1.3397762696373205,True,True,0.001692047377326565
full,baseline,19,12000006,12,L64_M4096,SL,2165.9812822892122,2592.134019499964,426.15273721075164,400.5413596855101,1.0639419048892995,True,False,0.001692047377326565
full,baseline,19,12000007,12,L200_M256,LS,2592.134019499964,2836.808216467874,244.67419696791012,72.35128428205302,3.3817533357677023,False,False,0.001692047377326565
full,baseline,19,12000008,12,L128_M256,LS,2836.808216467874,3119.3290889655814,282.5208724977074,48.19209238871334,5.862390663989393,False,False,0.001692047377326565
full,baseline,19,12000009,12,L160_M256,LS,3119.3290889655814,3350.866273574994,231.53718460941263,58.92951067026337,3.929053236246359,False,False,0.001692047377326565
full,baseline,19,12000010,12,L160_M2048,LL,3350.866273574994,3837.0421030033276,486.1758294283336,458.55018171426593,1.0602456368260298,True,False,0.001692047377326565
full,baseline,19,12000011,12,L200_M4096,LL,3837.0421030033276,4967.728409238861,1130.6863062355333,1130.6863062355314,1.0000000000000016,True,True,0.001692047377326565
full,baseline,19,13000007,13,L64_M1024,SL,2039.705189759915,2271.8826325572995,232.17744279738463,101.00752608339441,2.298615279476234,False,False,0.001692047377326565
full,baseline,19,13000008,13,L80_M2048,SL,2271.8826325572995,2544.152982177641,272.2703496203417,243.80186035081854,1.1167689583195075,True,False,0.001692047377326565
full,baseline,19,13000009,13,L160_M1024,LL,2544.152982177641,2806.0416614445803,261.8886792669391,229.85653940820262,1.1393570961313855,True,False,0.001692047377326565
full,baseline,19,13000010,13,L160_M256,LS,2806.0416614445803,3070.813249283002,264.7715878384215,58.92951067026337,4.493021999112388,False,False,0.001692047377326565
full,baseline,19,13000011,13,L32_M1024,SL,3070.813249283002,3268.2623517206816,197.4491024376798,58.057852632638046,3.4009026080768443,False,False,0.001692047377326565
full,baseline,19,13000012,13,L160_M1024,LL,3268.2623517206816,3579.2282306584475,310.96587893776586,229.85653940820262,1.3528694016641443,True,False,0.001692047377326565
full,baseline,19,13000013,13,L128_M1024,LL,3579.2282306584475,3861.1299544873364,281.90172382888886,186.90687789087698,1.508246924939131,False,False,0.001692047377326565
full,baseline,19,13000014,13,L64_M2048,SL,3861.1299544873364,4111.603328830262,250.47337434292604,200.85214333740902,1.247053529930019,True,True,0.001692047377326565
full,baseline,19,14000007,14,L64_M4096,SL,2370.960057438522,2771.5014171240327,400.54135968551054,400.5413596855101,1.000000000000001,True,False,0.001692047377326565
full,baseline,19,14000008,14,L160_M1024,LL,2771.5014171240327,3053.49886054126,281.99744341722726,229.85653940820262,1.2268410728851509,True,False,0.001692047377326565
full,baseline,19,14000009,14,L80_M256,SS,3053.49886054126,3248.9244045817168,195.42554404045677,32.085964974046185,6.090686198733101,False,False,0.001692047377326565
full,baseline,19,14000010,14,L200_M256,LS,3248.9244045817168,3526.3525890264677,277.42818444475097,72.35128428205302,3.8344610907420753,False,False,0.001692047377326565
full,baseline,19,14000011,14,L128_M1024,LL,3526.3525890264677,3830.70606532718,304.3534763007124,186.90687789087698,1.6283695909703493,False,False,0.001692047377326565
full,baseline,19,14000012,14,L200_M1024,LL,3830.70606532718,4137.692172739321,306.9861074121409,283.5436075005082,1.0826768768242843,True,True,0.001692047377326565
full,baseline,19,15000007,15,L128_M256,LS,2077.4611630045683,2301.987932959722,224.52676995515367,48.19209238871334,4.658996088904789,False,False,0.001692047377326565
full,baseline,19,15000008,15,L64_M256,SS,2301.987932959722,2553.0826227188995,251.09468975917753,26.717256165257165,9.398221441829733,False,False,0.001692047377326565
full,baseline,19,15000009,15,L64_M2048,SL,2553.0826227188995,2823.250081051942,270.1674583330423,200.85214333740902,1.345106175338101,True,False,0.001692047377326565
full,baseline,19,15000010,15,L32_M256,SS,2823.250081051942,3070.868505599294,247.61842454735233,15.979837567787547,15.495678444598596,False,False,0.001692047377326565
full,baseline,19,15000011,15,L80_M1024,SL,3070.868505599294,3289.2454852563965,218.3769796571023,122.48236916054397,1.7829258296829997,False,False,0.001692047377326565
full,baseline,19,15000012,15,L200_M1024,LL,3289.2454852563965,3603.623886396612,314.3784011402154,283.5436075005082,1.108747976762805,True,False,0.001692047377326565
full,baseline,19,15000013,15,L80_M256,SS,3603.623886396612,3856.3909115397246,252.76702514311273,32.085964974046185,7.87780655335041,False,False,0.001692047377326565
full,baseline,19,15000014,15,L80_M4096,SL,3856.3909115397246,4372.188073390463,515.7971618507381,486.44082678401566,1.0603492417789122,True,True,0.001692047377326565
full,baseline,19,16000007,16,L64_M4096,SL,2562.3615009199675,2962.902860605478,400.54135968551054,400.5413596855101,1.000000000000001,True,False,0.001692047377326565
full,baseline,19,16000008,16,L80_M1024,SL,2962.902860605478,3182.8827228052246,219.97986219974655,122.48236916054397,1.796012468630547,False,False,0.001692047377326565
full,baseline,19,16000009,16,L200_M4096,LL,3182.8827228052246,4322.75092039569,1139.8681975904651,1130.6863062355314,1.0081206354974825,True,True,0.001692047377326565
full,baseline,19,17000007,17,L32_M2048,SL,2071.7273202097335,2269.202195175836,197.47487496610256,114.952820977,1.7178775891512374,False,False,0.001692047377326565
full,baseline,19,17000008,17,L160_M2048,LL,2269.202195175836,2743.9590646732495,474.7568694974134,458.55018171426593,1.0353433243065342,True,False,0.001692047377326565
full,baseline,19,17000009,17,L200_M1024,LL,2743.9590646732495,3036.268093662173,292.3090289889237,283.5436075005082,1.030913839199848,True,False,0.001692047377326565
full,baseline,19,17000010,17,L32_M256,SS,3036.268093662173,3209.7220890709737,173.45399540880044,15.979837567787547,10.85455309999222,False,False,0.001692047377326565
full,baseline,19,17000011,17,L160_M1024,LL,3209.7220890709737,3509.431706610596,299.7096175396223,229.85653940820262,1.3038985895779431,True,False,0.001692047377326565
full,baseline,19,17000012,17,L128_M2048,LL,3509.431706610596,3894.1766957929567,384.74498918236077,372.6508694745985,1.0324542908616148,True,False,0.001692047377326565
full,baseline,19,17000013,17,L200_M256,LS,3894.1766957929567,4136.56664613096,242.38995033800347,72.35128428205302,3.350181724391714,False,True,0.001692047377326565
full,baseline,19,18000007,18,L160_M256,LS,2059.0420547782837,2269.926103286908,210.88404850862435,58.92951067026337,3.5785813611895354,False,False,0.001692047377326565
full,baseline,19,18000008,18,L200_M4096,LL,2269.926103286908,3423.6315051124866,1153.7054018255785,1130.6863062355314,1.0203585162950155,True,False,0.001692047377326565
full,baseline,19,18000009,18,L160_M2048,LL,3423.6315051124866,3882.1816868267515,458.5501817142649,458.55018171426593,0.9999999999999978,True,False,0.001692047377326565
full,baseline,19,18000010,18,L64_M1024,SL,3882.1816868267515,4118.320215662768,236.13852883601612,101.00752608339441,2.3378310309377746,False,True,0.001692047377326565
full,baseline,19,19000007,19,L32_M1024,SL,2014.1879625216684,2207.5477063349394,193.35974381327105,58.057852632638046,3.3304666818588315,False,False,0.001692047377326565
full,baseline,19,19000008,19,L64_M1024,SL,2207.5477063349394,2446.407831629565,238.8601252946255,101.00752608339441,2.364775522740914,False,False,0.001692047377326565
full,baseline,19,19000009,19,L128_M256,LS,2446.407831629565,2696.728915015386,250.3210833858211,48.19209238871334,5.19423563033438,False,False,0.001692047377326565
full,baseline,19,19000010,19,L160_M1024,LL,2696.728915015386,3012.0482837590334,315.3193687436474,229.85653940820262,1.371809431898177,True,False,0.001692047377326565
full,baseline,19,19000011,19,L80_M2048,SL,3012.0482837590334,3266.3385985350633,254.29031477602985,243.80186035081854,1.0430204035773925,True,False,0.001692047377326565
full,baseline,19,19000012,19,L160_M256,LS,3266.3385985350633,3517.4742447664003,251.13564623133698,58.92951067026337,4.261627890252675,False,False,0.001692047377326565
full,baseline,19,19000013,19,L200_M256,LS,3517.4742447664003,3813.9763378057646,296.50209303936435,72.35128428205302,4.0980902548113125,False,False,0.001692047377326565
full,baseline,19,19000014,19,L80_M1024,SL,3813.9763378057646,4077.621239748584,263.64490194281916,122.48236916054397,2.1525130820848686,False,True,0.001692047377326565
full,baseline,19,20000009,20,L128_M1024,LL,2179.4921669567134,2435.002916621125,255.51074966441183,186.90687789087698,1.367048406926942,True,False,0.001692047377326565
