total_K,miss,category,layer_V_MiB,layer_C_ms,B_GiB_s,request_SLO_ms,optimistic_link_lower_bound_ms,static_pool,semi_count_per_npu,full_count_per_npu
32,256,SS,43.65625,1.9974796959734433,21.343424279388426,23.96975635168132,15.979837567787547,full,1,3
32,1024,SL,42.62500000000001,7.257231579079756,5.735792789428712,87.08677894895706,58.057852632638046,full,1,2
32,2048,SL,41.25000000000001,14.369102622125,2.8034599086914067,172.4292314655,114.952820977,narrow8,1,1
32,4096,SL,38.5,28.592841995880782,1.3149324665039066,343.1141039505694,228.74273596704626,narrow8,2,1
64,256,SS,87.65625,3.3396570206571456,25.63191552639771,40.075884247885746,26.717256165257165,full,1,3
64,1024,SL,86.625,12.625940760424301,6.70007314050293,151.51128912509162,101.00752608339441,narrow8,1,2
64,2048,SL,85.25,25.106517917176127,3.31594980234375,301.27821500611356,200.85214333740902,narrow8,1,1
64,4096,SL,82.5,50.06766996068876,1.609150302246094,600.8120395282651,400.5413596855101,narrow8,2,1
80,256,SS,109.65625000000001,4.010745621755773,26.699818871521,48.128947461069274,32.085964974046185,full,1,3
80,1024,SL,108.62500000000001,15.310296145067996,6.928611997924805,183.72355374081596,122.48236916054397,narrow8,1,2
80,2048,SL,107.25,30.475232543852318,3.436768791650391,365.70279052622783,243.80186035081854,narrow8,1,1
80,4096,SL,104.5,60.80510334800196,1.678325923828125,729.6612401760235,486.44082678401566,narrow8,2,1
128,256,LS,175.65625,6.024011548589168,28.475925926934814,72.28813858307001,48.19209238871334,full,1,3
128,1024,LL,174.625,23.363359736359623,7.299131138964844,280.36031683631546,186.90687789087698,narrow8,1,2
128,2048,LL,173.25,46.58135868432481,3.632127913476562,558.9763042118977,372.6508694745985,narrow8,1,1
128,4096,LL,170.5,93.01732520235409,1.7900311139648435,1116.207902428249,744.1386016188327,narrow8,2,1
160,256,LS,219.65625,7.366188833782921,29.120629606567384,88.39426600539505,58.92951067026337,full,1,3
160,1024,LL,218.62500000000003,28.732067426025328,7.4307557961914075,344.78480911230395,229.85653940820262,narrow8,1,2
160,2048,LL,217.25000000000003,57.31877271428324,3.701373792187501,687.825272571399,458.55018171426593,narrow8,1,1
160,4096,LL,214.5,114.4921718038388,1.8295805988281253,1373.9060616460656,915.9373744307104,narrow8,2,1
200,256,LS,274.65625,9.043910535256627,29.65741347119751,108.52692642307952,72.35128428205302,full,1,3
200,1024,LL,273.62500000000006,35.44295093756352,7.539211803588869,425.3154112507623,283.5436075005082,narrow8,1,2
200,2048,LL,272.25000000000006,70.74053784115809,3.7583703593261726,848.8864540938971,565.9243027292647,narrow8,1,1
200,4096,LL,269.5,141.33578827944143,1.86211572421875,1696.0294593532972,1130.6863062355314,narrow8,2,1
