scenario,seed,npu,position_1based,request_id,profile,total_input_K,NQL,category
full,7,0,1,0,P09,80,256,SS
full,7,0,2,1,P03,32,2048,SL
full,7,0,3,2,P13,128,256,LS
full,7,0,4,3,P24,200,4096,LL
full,7,0,5,4,P23,200,2048,LL
full,7,0,6,5,P09,80,256,SS
full,7,0,7,6,P06,64,1024,SL
full,7,0,8,7,P09,80,256,SS
full,7,0,9,8,P06,64,1024,SL
full,7,0,10,9,P21,200,256,LS
full,7,0,11,10,P21,200,256,LS
full,7,0,12,11,P14,128,1024,LL
full,7,0,13,12,P05,64,256,SS
full,7,0,14,13,P01,32,256,SS
full,7,0,15,14,P11,80,2048,SL
full,7,0,16,15,P21,200,256,LS
full,7,0,17,16,P07,64,2048,SL
full,7,0,18,17,P13,128,256,LS
full,7,0,19,18,P22,200,1024,LL
full,7,0,20,19,P19,160,2048,LL
full,7,0,21,20,P10,80,1024,SL
full,7,0,22,21,P17,160,256,LS
full,7,0,23,22,P16,128,4096,LL
full,7,0,24,23,P10,80,1024,SL
full,7,0,25,24,P15,128,2048,LL
full,7,0,26,25,P05,64,256,SS
full,7,0,27,26,P17,160,256,LS
full,7,0,28,27,P17,160,256,LS
full,7,0,29,28,P18,160,1024,LL
full,7,0,30,29,P01,32,256,SS
full,7,0,31,30,P01,32,256,SS
full,7,0,32,31,P08,64,4096,SL
full,7,0,33,32,P18,160,1024,LL
full,7,0,34,33,P22,200,1024,LL
full,7,0,35,34,P13,128,256,LS
full,7,0,36,35,P04,32,4096,SL
full,7,0,37,36,P20,160,4096,LL
full,7,0,38,37,P02,32,1024,SL
full,7,0,39,38,P02,32,1024,SL
full,7,0,40,39,P14,128,1024,LL
full,7,0,41,40,P05,64,256,SS
full,7,0,42,41,P12,80,4096,SL
full,7,1,1,1000000,P13,128,256,LS
full,7,1,2,1000001,P14,128,1024,LL
full,7,1,3,1000002,P12,80,4096,SL
full,7,1,4,1000003,P05,64,256,SS
full,7,1,5,1000004,P13,128,256,LS
full,7,1,6,1000005,P17,160,256,LS
full,7,1,7,1000006,P01,32,256,SS
full,7,1,8,1000007,P16,128,4096,LL
full,7,1,9,1000008,P24,200,4096,LL
full,7,1,10,1000009,P11,80,2048,SL
full,7,1,11,1000010,P01,32,256,SS
full,7,1,12,1000011,P08,64,4096,SL
full,7,1,13,1000012,P02,32,1024,SL
full,7,1,14,1000013,P10,80,1024,SL
full,7,1,15,1000014,P21,200,256,LS
full,7,1,16,1000015,P01,32,256,SS
full,7,1,17,1000016,P09,80,256,SS
full,7,1,18,1000017,P18,160,1024,LL
full,7,1,19,1000018,P14,128,1024,LL
full,7,1,20,1000019,P04,32,4096,SL
full,7,1,21,1000020,P15,128,2048,LL
full,7,1,22,1000021,P03,32,2048,SL
full,7,1,23,1000022,P05,64,256,SS
full,7,1,24,1000023,P07,64,2048,SL
full,7,1,25,1000024,P21,200,256,LS
full,7,1,26,1000025,P17,160,256,LS
full,7,1,27,1000026,P13,128,256,LS
full,7,1,28,1000027,P02,32,1024,SL
full,7,1,29,1000028,P23,200,2048,LL
full,7,1,30,1000029,P06,64,1024,SL
full,7,1,31,1000030,P10,80,1024,SL
full,7,1,32,1000031,P09,80,256,SS
full,7,1,33,1000032,P09,80,256,SS
full,7,1,34,1000033,P06,64,1024,SL
full,7,1,35,1000034,P22,200,1024,LL
full,7,1,36,1000035,P21,200,256,LS
full,7,1,37,1000036,P05,64,256,SS
full,7,1,38,1000037,P20,160,4096,LL
full,7,1,39,1000038,P17,160,256,LS
full,7,1,40,1000039,P19,160,2048,LL
