scenario,seed,npu,position_1based,request_id,profile,total_input_K,NQL,category
semi,7,0,1,0,P18,160,1024,LL
semi,7,0,2,1,P05,64,256,SS
semi,7,0,3,2,P13,128,256,LS
semi,7,0,4,3,P24,200,4096,LL
semi,7,0,5,4,P07,64,2048,SL
semi,7,0,6,5,P24,200,4096,LL
semi,7,0,7,6,P08,64,4096,SL
semi,7,0,8,7,P01,32,256,SS
semi,7,0,9,8,P12,80,4096,SL
semi,7,0,10,9,P08,64,4096,SL
semi,7,0,11,10,P23,200,2048,LL
semi,7,0,12,11,P19,160,2048,LL
semi,7,0,13,12,P22,200,1024,LL
semi,7,0,14,13,P12,80,4096,SL
semi,7,0,15,14,P20,160,4096,LL
semi,7,0,16,15,P20,160,4096,LL
semi,7,0,17,16,P16,128,4096,LL
semi,7,0,18,17,P06,64,1024,SL
semi,7,0,19,18,P14,128,1024,LL
semi,7,0,20,19,P21,200,256,LS
semi,7,0,21,20,P16,128,4096,LL
semi,7,0,22,21,P10,80,1024,SL
semi,7,0,23,22,P04,32,4096,SL
semi,7,0,24,23,P15,128,2048,LL
semi,7,0,25,24,P03,32,2048,SL
semi,7,0,26,25,P02,32,1024,SL
semi,7,0,27,26,P17,160,256,LS
semi,7,0,28,27,P11,80,2048,SL
semi,7,0,29,28,P04,32,4096,SL
semi,7,0,30,29,P09,80,256,SS
semi,7,1,1,1000000,P23,200,2048,LL
semi,7,1,2,1000001,P12,80,4096,SL
semi,7,1,3,1000002,P01,32,256,SS
semi,7,1,4,1000003,P20,160,4096,LL
semi,7,1,5,1000004,P08,64,4096,SL
semi,7,1,6,1000005,P19,160,2048,LL
semi,7,1,7,1000006,P02,32,1024,SL
semi,7,1,8,1000007,P20,160,4096,LL
semi,7,1,9,1000008,P17,160,256,LS
semi,7,1,10,1000009,P04,32,4096,SL
semi,7,1,11,1000010,P06,64,1024,SL
semi,7,1,12,1000011,P11,80,2048,SL
semi,7,1,13,1000012,P24,200,4096,LL
semi,7,1,14,1000013,P13,128,256,LS
semi,7,1,15,1000014,P03,32,2048,SL
semi,7,1,16,1000015,P09,80,256,SS
semi,7,1,17,1000016,P10,80,1024,SL
semi,7,1,18,1000017,P08,64,4096,SL
semi,7,1,19,1000018,P07,64,2048,SL
semi,7,1,20,1000019,P05,64,256,SS
semi,7,1,21,1000020,P22,200,1024,LL
semi,7,1,22,1000021,P18,160,1024,LL
semi,7,1,23,1000022,P16,128,4096,LL
semi,7,1,24,1000023,P21,200,256,LS
semi,7,1,25,1000024,P04,32,4096,SL
semi,7,1,26,1000025,P15,128,2048,LL
semi,7,1,27,1000026,P12,80,4096,SL
semi,7,1,28,1000027,P24,200,4096,LL
semi,7,1,29,1000028,P16,128,4096,LL
semi,7,1,30,1000029,P14,128,1024,LL
semi,7,2,1,2000000,P23,200,2048,LL
semi,7,2,2,2000001,P14,128,1024,LL
semi,7,2,3,2000002,P11,80,2048,SL
semi,7,2,4,2000003,P03,32,2048,SL
semi,7,2,5,2000004,P21,200,256,LS
semi,7,2,6,2000005,P12,80,4096,SL
semi,7,2,7,2000006,P01,32,256,SS
semi,7,2,8,2000007,P18,160,1024,LL
semi,7,2,9,2000008,P04,32,4096,SL
semi,7,2,10,2000009,P24,200,4096,LL
semi,7,2,11,2000010,P06,64,1024,SL
semi,7,2,12,2000011,P16,128,4096,LL
semi,7,2,13,2000012,P07,64,2048,SL
semi,7,2,14,2000013,P13,128,256,LS
semi,7,2,15,2000014,P20,160,4096,LL
semi,7,2,16,2000015,P08,64,4096,SL
semi,7,2,17,2000016,P09,80,256,SS
semi,7,2,18,2000017,P15,128,2048,LL
semi,7,2,19,2000018,P10,80,1024,SL
semi,7,2,20,2000019,P16,128,4096,LL
semi,7,2,21,2000020,P19,160,2048,LL
semi,7,2,22,2000021,P04,32,4096,SL
semi,7,2,23,2000022,P24,200,4096,LL
semi,7,2,24,2000023,P22,200,1024,LL
semi,7,2,25,2000024,P05,64,256,SS
semi,7,2,26,2000025,P12,80,4096,SL
semi,7,2,27,2000026,P08,64,4096,SL
semi,7,2,28,2000027,P20,160,4096,LL
semi,7,2,29,2000028,P02,32,1024,SL
semi,7,2,30,2000029,P17,160,256,LS
semi,7,3,1,3000000,P21,200,256,LS
semi,7,3,2,3000001,P17,160,256,LS
semi,7,3,3,3000002,P16,128,4096,LL
semi,7,3,4,3000003,P16,128,4096,LL
semi,7,3,5,3000004,P07,64,2048,SL
semi,7,3,6,3000005,P12,80,4096,SL
semi,7,3,7,3000006,P05,64,256,SS
semi,7,3,8,3000007,P12,80,4096,SL
