scenario,policy,category,seed_count,n,slo1,slo1p5,source
full,baseline,LL,3,183,13.152359128033375,95.08079205593748,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,baseline,LS,3,140,0.0,0.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,baseline,SL,3,159,3.2266458495966694,40.495706479313036,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,baseline,SS,3,107,0.0,0.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,baseline,all,3,589,4.918295432284632,40.29543087150067,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,once,LL,3,177,0.5555555555555556,31.11111111111111,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,once,LS,3,133,14.167968869687778,84.79103471520054,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,once,SL,3,176,67.37873055905843,99.48717948717949,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,once,SS,3,116,71.82092974775901,99.1869918699187,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,once,all,3,602,36.647205497780206,76.13026819923371,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,static,LL,3,174,2.3233486943164365,27.16973886328725,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,static,LS,3,140,40.28700627537837,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,static,SL,3,175,47.47704386414064,95.07492746202423,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,static,SS,3,113,74.24651372019792,97.43589743589743,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
full,static,all,3,602,37.569154042579925,76.96425995927727,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,baseline,LL,3,212,86.73359073359073,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,baseline,LS,3,46,4.232804232804233,91.53439153439153,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,baseline,SL,3,205,79.40766550522648,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,baseline,SS,3,43,4.074074074074074,65.55555555555556,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,baseline,all,3,506,69.56224674480801,96.27054975026563,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,once,LL,3,205,72.48595416956,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,once,LS,3,48,56.2962962962963,98.14814814814815,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,once,SL,3,199,87.7212373804931,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,once,SS,3,41,98.03921568627452,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,once,all,3,493,79.6653996410094,99.80952380952381,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,static,LL,3,211,77.94245816781027,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,static,LS,3,46,82.11017740429506,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,static,SL,3,209,87.25594625673304,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,static,SS,3,43,98.24561403508773,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
semi,static,all,3,509,83.96082542031488,100.0,diverse_data_ssu3_l3_20260916/figures/ttft_cdf_three_strategies/request_samples.csv
AB128_32,baseline,A,1,108,12.037037037037036,28.703703703703702,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,baseline,B,1,233,72.96137339055794,100.0,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,baseline,all,1,341,53.665689149560116,77.41935483870968,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,once,A,1,106,9.433962264150944,33.9622641509434,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,once,B,1,237,83.54430379746836,100.0,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,once,all,1,343,60.64139941690962,79.59183673469387,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,static_aggressive,A,1,107,17.757009345794394,77.57009345794393,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,static_aggressive,B,1,217,24.88479262672811,97.6958525345622,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
AB128_32,static_aggressive,all,1,324,22.530864197530864,91.04938271604938,baseline_ab128_32_ratio12_20260912/figures/ssu3/ttft_cdf_random_seed7/request_samples.csv
